Point;Latitude;Longitude;Contexte;P̩riode;NORTAV;NORSD;NORTX35;NORTR;NORTNFD;NORTNCWD;NORTXHWD;NORRR;NORRR1MM;NORPFL90;NORTPSPI;NORPQ90;NORPQ99;NORFFQ98;NORFF98;ATAV;ATXAV;ASD;ATX35;ATR;ATNFD;ATNCWD;ATXHWD;ARR;ARR1MM;APFL90;APQ99;AFFAV;AFF3;AFFQ98;AFF98;
139;41.3373;9.1495;RCP4.5;H1;17.03;120;7.23;56;9;3;8;742.42;84.73;80.65;0.06;5.83;27.56;9.53;8.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
281;41.4149;9.0628;RCP4.5;H1;17.01;121;6.93;55;9;3;8;745.28;83.83;80.31;0.06;5.96;27.57;9.43;7.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
282;41.4087;9.1577;RCP4.5;H1;16.72;113;6.77;54;9;3;9;770.04;85.83;80.53;0.06;6.07;28.6;9.04;8.1;1.1;1.06;19;4.67;22;-2;0;6;27.3;0.6;0.82;-0.19;0.04;-3.74;0.2;0.8;
283;41.4025;9.2527;RCP4.5;H1;17;119;7.23;55;9;3;8;745.38;84.83;80.65;0.06;5.86;27.67;9.48;8.27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
422;41.4985;8.8808;RCP4.5;H1;16.94;119;6.87;54;9;3;9;751.14;84.2;80.27;0.03;6.01;27.78;9.31;7.37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
423;41.4925;8.9759;RCP4.5;H1;16.74;115;6.47;53;8;3;9;769.02;85.23;80.2;0.03;6.15;28.45;9.02;7.4;1.08;1.05;20;4.37;21;-3;1;7;31.91;0.4;0.46;0.27;0.03;-3.2;0.13;0.07;
424;41.4864;9.071;RCP4.5;H1;16.83;117;6.73;54;9;3;9;760.95;84.83;80.23;0.03;6.09;28.14;9.14;7.37;1.08;1.04;20;4.56;22;-2;1;7;31.52;0.46;0.46;0.27;0.03;-3.3;0.11;-0.03;
425;41.4802;9.166;RCP4.5;H1;16.44;107;6.5;52;8;2;10;796.26;87.2;80.42;0.06;6.31;29.56;8.6;8.27;1.1;1.09;20;4.5;22;-2;0;7;29.08;0.6;0.78;-0.14;0.05;-3.87;0.18;0.94;
426;41.4739;9.261;RCP4.5;H1;16.85;116;7.1;55;9;3;8;758.43;85.43;80.57;0.06;5.98;28.16;9.23;8.2;1.1;1.05;20;4.83;22;-2;0;5;26.58;0.86;0.76;-0.21;0.05;-4.3;0.2;0.87;
564;41.5759;8.7935;RCP4.5;H1;16.42;107;1.3;45;4;0;5;787.39;86.27;79.25;0.03;6.63;28.39;5.59;7.23;0.93;0.92;20;0.9;19;0;0;5;38.35;0.44;0.16;0.94;0.01;0.43;0.06;-0.1;
