#-----------------------------------------------------------------------------
# Date d'extraction : 31/03/2025 - 09h22 loc.
#-----------------------------------------------------------------------------
# Producteur : MF-DCSC
# Experience : EUROCORDEX2020
# Modele     : ALADIN63_CNRM-CM5
# Scenario :
#     REF : rÃ©fÃ©rence
#-----------------------------------------------------------------------------
# Horizons :
#     REF : RÃ©fÃ©rence
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     NORTAV : TempÃ©rature moyenne journaliÃ¨re (Â°C)
#     NORSD : Nombre de journÃ©es d'Ã©tÃ© (jour(s))
#     NORTX35 : Nombre de jours de fortes chaleur ( TX>35Â°C ) (jour(s))
#     NORTR : Nombre de nuits tropicales (jour(s))
#     NORTNFD : Nombre de jours de gel (jour(s))
#     NORTNCWD : Nombre de jours d'une vague de froid (jour(s))
#     NORTXHWD : Nombre de jours d'une vague de chaleur (jour(s))
#     NORRR : Cumul de prÃ©cipitation (mm)
#     NORRR1MM : Nombre de jours de pluie (jour(s))
#     NORPFL90 : Fraction des prÃ©cipitations journaliÃ¨res intenses (%)
#     NORTPSPI : Temps passÃ© en sÃ©cheresse mÃ©tÃ©orologique
#     NORPQ90 : prÃ©cipitations intenses (Q90) (mm)
#     NORPQ99 : prÃ©cipitations extrÃªmes (Q99) (mm)
#     NORFFQ98 : vent fort (Q98) (m/s)
#     NORFF98 : nombre de jours de vent fort (jour(s))
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;Contexte;PÃ©riode;NORTAV;NORSD;NORTX35;NORTR;NORTNFD;NORTNCWD;NORTXHWD;NORRR;NORRR1MM;NORPFL90;NORTPSPI;NORPQ90;NORPQ99;NORFFQ98;NORFF98;
#-----------------------------------------------------------------------------
5646;44.362;2.487;REF;REF;10.98;42;0.97;4;46;4;8;955.27;132.47;61.92;0.07;8.36;24.04;7.46;7.33;
5647;44.3618;2.5873;REF;REF;11.01;42;0.97;4;46;4;9;953.6;132.33;61.83;0.07;8.39;23.68;7.45;7.33;
5648;44.3615;2.6875;REF;REF;10.54;36;0.6;3;50;4;9;984.04;135.53;61.27;0.07;8.61;24.25;7.48;7.33;
5649;44.3612;2.7878;REF;REF;9.96;29;0.37;3;54;4;8;1020.2;137.8;60.79;0.07;8.82;25.59;7.43;7.33;
5650;44.3607;2.8881;REF;REF;10.24;32;0.47;3;52;4;8;1002.78;137.3;60.81;0.07;8.67;25.19;7.44;7.33;
5651;44.3602;2.9884;REF;REF;10.31;44;0.73;1;59;3;10;1035.62;137.2;61.44;0.07;8.82;27.18;8.77;7.33;
5652;44.3595;3.0886;REF;REF;9.74;36;0.5;2;63;3;11;1077.14;138.03;61.43;0.07;9.08;28.06;8.69;7.27;
5653;44.3588;3.1889;REF;REF;9.37;36;0.23;0;76;2;10;927.27;129.23;64.59;0.07;7.61;26.54;7.63;7.33;
5654;44.358;3.2892;REF;REF;9.42;37;0.27;0;76;3;10;919.69;128.87;64.4;0.07;7.5;25.95;7.66;7.37;
5655;44.357;3.3894;REF;REF;9.59;38;0.3;0;72;3;10;1064.38;122.77;69.54;0.07;8.18;35.63;7.79;7.4;
5656;44.356;3.4897;REF;REF;9.6;40;0.37;0;73;4;10;907.68;128.53;64.34;0.1;7.44;25.84;7.6;7.23;
5657;44.3549;3.5899;REF;REF;9.86;44;0.5;0;71;3;10;901.35;128.27;64.45;0.07;7.29;26.06;7.53;7.33;
5658;44.3537;3.6902;REF;REF;8.78;26;0.03;0;78;2;8;1449.66;121.3;75.67;0.1;10.12;57.46;8.42;7.3;
5659;44.3525;3.7904;REF;REF;7.36;10;0;0;98;2;8;1532.31;122.93;75.47;0.07;10.92;59.89;10.64;7.3;
5660;44.3511;3.8907;REF;REF;8.63;20;0;0;75;3;8;1722.11;117.3;78.73;0.07;11.58;70.04;8.7;7.33;
5661;44.3496;3.9909;REF;REF;12.37;60;0.83;6;29;2;7;1374.11;100.1;81.27;0.07;9.74;56.46;7.16;7.3;
5662;44.3481;4.0911;REF;REF;12.59;67;1.63;9;34;2;8;1209.21;94.93;81.31;0.07;8.93;49.13;5.73;7.5;
5663;44.3464;4.1914;REF;REF;13.36;80;3.1;12;30;2;6;1120.17;93.03;81.32;0.1;8.14;46.29;6.77;7.27;
5664;44.3447;4.2916;REF;REF;13.15;75;2.43;13;30;1;7;974.91;87.07;82.12;0.1;7.23;39.98;7.14;7.3;
5665;44.3428;4.3918;REF;REF;13.05;74;2.33;12;31;1;7;974.36;87.5;82.11;0.07;7.3;38.46;7.04;7.33;
5666;44.3409;4.492;REF;REF;12.92;72;1.97;13;32;1;6;984.94;87.53;81.98;0.07;7.46;39.4;6.92;7.37;
5667;44.3389;4.5922;REF;REF;13.12;73;1.7;17;27;1;7;897.65;85.13;82.32;0.07;6.48;36.4;8.62;7.27;
5668;44.3368;4.6924;REF;REF;14.24;94;3.6;22;23;1;6;720.54;79.57;81.97;0.07;5.57;29.49;8.97;7.27;
5669;44.3346;4.7926;REF;REF;13.85;87;2.73;20;25;2;7;749.16;80.93;81.86;0.1;5.85;30.95;8.03;7.33;
5670;44.3323;4.8927;REF;REF;13.81;86;2.6;20;26;2;7;751.4;81.23;81.88;0.1;5.86;31.09;7.95;7.3;
5671;44.3299;4.9929;REF;REF;13.04;74;1.67;15;33;2;7;801.8;81.7;82.22;0.07;6.18;32.42;6.49;7.37;
5672;44.3274;5.0931;REF;REF;13.41;92;3.47;11;45;3;6;781.78;91.23;77.4;0.07;6.36;27.77;5.45;7.33;
5673;44.3248;5.1932;REF;REF;11.19;59;0.67;1;70;5;7;888.24;94;77.24;0.07;7.18;31.84;5.6;7.27;
5674;44.3222;5.2934;REF;REF;11.5;64;0.9;2;67;5;8;868.92;92.7;77.34;0.07;7.07;31.76;5.5;7.33;
5675;44.3194;5.3935;REF;REF;10.24;47;0.37;0;82;5;8;932.77;95.57;76.87;0.07;7.54;33.91;6.22;7.33;
5676;44.3166;5.4936;REF;REF;9.43;38;0.1;0;94;4;8;970.89;95.5;77.07;0.07;7.98;35.99;6.68;7.3;
5677;44.3137;5.5937;REF;REF;9.08;30;0.07;0;93;4;8;996.13;98.33;76.24;0.1;8.24;37.33;6.66;7.37;
5678;44.3106;5.6938;REF;REF;9.32;52;0.17;0;116;4;7;933.92;99.2;74.6;0.1;8.03;32.43;6.53;7.37;
5679;44.3075;5.7939;REF;REF;10.58;68;0.53;0;95;5;7;876.1;99.63;74.15;0.1;7.64;30.75;6.3;7.33;
5680;44.3043;5.894;REF;REF;11.3;75;0.77;0;86;4;6;802.84;93.27;75.9;0.07;6.93;28.78;4.51;7.3;
5681;44.301;5.9941;REF;REF;10.39;64;0.43;0;103;4;6;866.46;96.23;75.22;0.07;7.45;32.18;4.32;7.33;
5682;44.2976;6.0941;REF;REF;8.36;35;0;0;125;3;6;976.62;99.13;75.16;0.07;8.19;34.81;4.65;7.3;
5683;44.2941;6.1942;REF;REF;6.38;7;0;0;138;4;4;1091.27;102.93;74.68;0.1;9.38;38.03;5.55;7.3;
5684;44.2906;6.2942;REF;REF;6.91;15;0;0;144;4;4;807.62;106.63;70.7;0.07;6.88;25.98;3.9;7.33;
5685;44.2869;6.3942;REF;REF;6.82;15;0;0;144;4;5;815.53;106.17;70.91;0.07;6.92;26.29;3.94;7.33;
5686;44.2831;6.4942;REF;REF;3.25;0;0;0;170;4;3;1231.18;117.47;71.1;0.07;10.23;39.52;6.11;7.33;
5687;44.2793;6.5942;REF;REF;3.91;0;0;0;164;4;3;1210.85;116.1;71.65;0.07;10.12;40.8;5.99;7.37;
5688;44.2754;6.6942;REF;REF;2.47;0;0;0;183;2;2;1281.94;118.5;70.94;0.07;11.09;42.26;6.38;7.33;
5689;44.2713;6.7941;REF;REF;2.6;0;0;0;170;3;1;1366.36;117.27;74.32;0.07;10.45;50.13;7.43;7.33;
5690;44.2672;6.8941;REF;REF;5.66;0;0;0;121;2;3;1207.86;113.17;74.84;0.07;9.21;46.21;6.52;7.3;
5691;44.263;6.994;REF;REF;2.77;0;0;0;164;4;2;1359.92;118.97;73.69;0.07;10.56;48.99;7.28;7.33;
5692;44.2587;7.0939;REF;REF;4.7;0;0;0;136;3;2;1261.61;114.9;74.42;0.07;9.5;47.08;6.65;7.33;
5752;44.3761;-1.2254;REF;REF;13.62;43;0.63;6;17;4;4;874.06;126.5;62.98;0.07;7.62;22.7;8.06;7.33;
5753;44.3793;-1.1252;REF;REF;13.6;43;0.6;6;17;4;3;876.2;126.3;63.15;0.07;7.66;23.39;8.09;7.33;
5754;44.3825;-1.025;REF;REF;12.98;69;2.13;3;38;4;5;1037.18;135.5;61.88;0.07;9.15;27.06;4.51;7.3;
5755;44.3855;-0.9248;REF;REF;12.94;68;2.13;3;38;4;5;1040.21;135.4;61.88;0.07;9.18;27.13;4.5;7.3;
5756;44.3884;-0.8245;REF;REF;12.96;68;2;3;38;5;6;1041.25;135.23;61.86;0.07;9.13;26.77;4.52;7.37;
5757;44.3913;-0.7243;REF;REF;12.95;68;1.97;3;38;4;6;1041.11;135.4;61.81;0.07;9.06;26.8;4.51;7.37;
5758;44.394;-0.624;REF;REF;12.87;66;1.87;3;38;4;6;1047.53;135.5;61.77;0.07;9.12;26.96;4.48;7.3;
5759;44.3967;-0.5237;REF;REF;12.81;63;1.6;3;36;4;6;921.65;128.03;63.21;0.07;8;24.24;5.18;7.3;
5760;44.3993;-0.4235;REF;REF;12.83;64;1.57;3;35;4;6;920.75;127.93;63.11;0.07;8.07;23.91;5.18;7.33;
5761;44.4018;-0.3232;REF;REF;12.81;64;1.57;3;35;4;5;922.05;127.9;63.11;0.07;8.08;23.94;5.18;7.33;
5762;44.4041;-0.2229;REF;REF;12.76;64;1.53;4;35;3;6;835.72;119.77;65.57;0.07;7.08;23.34;4.76;7.3;
5763;44.4064;-0.1226;REF;REF;12.7;63;1.4;4;34;4;6;839.92;119.97;65.52;0.07;7.13;23.47;4.74;7.33;
5764;44.4087;-0.0223;REF;REF;12.67;62;1.37;4;35;4;6;847.93;119.7;65.81;0.1;7.25;24.11;4.71;7.33;
5765;44.4108;0.0781;REF;REF;12.79;68;1.73;4;38;4;6;797.76;122.43;63.75;0.1;6.88;20.53;4.67;7.33;
5766;44.4128;0.1784;REF;REF;13.01;68;1.47;6;32;3;5;746.22;117.1;65.92;0.1;6.18;20.75;4.82;7.37;
5767;44.4147;0.2787;REF;REF;13.16;72;1.73;6;32;3;5;735.81;117.27;65.92;0.1;6.14;20.25;4.9;7.3;
5768;44.4166;0.3791;REF;REF;12.86;62;1.27;6;31;3;5;764.58;117.43;65.61;0.1;6.58;21.52;4.79;7.37;
5769;44.4183;0.4794;REF;REF;12.98;65;1.7;6;30;3;5;781.94;121.87;64.1;0.1;6.68;21.46;4.95;7.27;
5770;44.42;0.5798;REF;REF;13.17;69;1.77;7;29;3;6;771.09;118.87;65.8;0.1;6.51;21.8;5.09;7.3;
5771;44.4215;0.6801;REF;REF;13.12;68;1.7;7;29;3;7;773.21;118.73;65.61;0.1;6.6;22;5.07;7.37;
5772;44.423;0.7805;REF;REF;12.99;64;1.6;7;29;3;6;783.62;119.57;65.62;0.1;6.69;22.3;5.01;7.37;
5773;44.4244;0.8808;REF;REF;12.96;64;1.6;7;29;3;7;781.82;119.4;65.47;0.1;6.72;22.52;4.99;7.33;
5774;44.4257;0.9812;REF;REF;12.74;59;1.23;7;29;3;7;798.8;120.03;65.44;0.07;6.88;23.01;4.92;7.33;
5775;44.4268;1.0816;REF;REF;12.66;66;2.87;6;36;4;8;820.95;119.03;65.58;0.07;7.22;22.84;5.29;7.33;
5776;44.428;1.182;REF;REF;12.75;68;3.07;5;36;3;8;818.34;119.5;65.58;0.1;7.14;22.64;5.35;7.33;
5777;44.429;1.2824;REF;REF;12.51;64;2.87;5;37;3;8;833.65;119.87;65.63;0.1;7.26;23.07;5.27;7.37;
5778;44.4299;1.3828;REF;REF;12.62;65;2.8;5;37;4;8;823.48;119.87;65.45;0.1;7.2;22.52;5.29;7.33;
5779;44.4307;1.4831;REF;REF;12.81;69;3;6;35;3;8;811.55;118.8;65.41;0.07;7.12;22.26;5.37;7.37;
5780;44.4314;1.5835;REF;REF;12.55;64;2.8;5;37;3;8;828.82;119.13;65.41;0.07;7.29;22.71;5.28;7.33;
5781;44.4321;1.6839;REF;REF;12.46;62;2.8;5;37;3;9;836.79;119.6;65.5;0.07;7.26;22.87;5.25;7.4;
5782;44.4326;1.7843;REF;REF;12.4;61;2.57;5;37;3;9;841.77;119.57;65.53;0.1;7.33;22.98;5.21;7.33;
5783;44.4331;1.8847;REF;REF;12.08;61;2.47;4;46;5;9;873.75;120.87;65.25;0.1;7.59;23.3;5.17;7.33;
5784;44.4335;1.9851;REF;REF;11.86;56;2.17;4;45;5;9;893.6;121.93;65.31;0.1;7.67;24.57;5.11;7.33;
5785;44.4337;2.0855;REF;REF;11.63;51;1.7;4;45;5;9;910.72;122.47;65.3;0.1;7.83;25.07;5.05;7.33;
5786;44.4339;2.186;REF;REF;11.47;49;1.23;4;43;3;7;922.62;131.8;61.63;0.07;8.1;23.43;7.37;7.33;
5787;44.434;2.2864;REF;REF;11.37;47;1.13;4;43;4;8;925.94;132.1;61.74;0.07;8.06;23.09;7.41;7.23;
5788;44.434;2.3868;REF;REF;11.27;43;1.1;4;43;4;9;1079.23;134.4;61.68;0.1;9.56;26.73;5.52;7.37;
5789;44.4339;2.4872;REF;REF;11.19;42;0.97;4;44;4;9;1086.06;134.13;61.72;0.1;9.67;26.64;5.5;7.3;
5790;44.4337;2.5876;REF;REF;11.03;43;1.03;4;47;4;8;948.82;132.03;61.69;0.07;8.4;23.59;7.44;7.3;
5791;44.4335;2.688;REF;REF;10.94;41;0.97;4;46;4;9;959.06;132.23;61.82;0.07;8.45;23.81;7.47;7.27;
5792;44.4331;2.7884;REF;REF;10.96;42;0.97;4;47;4;8;957.88;131.93;61.73;0.07;8.41;24.24;7.42;7.33;
5793;44.4326;2.8888;REF;REF;10.76;39;0.8;3;48;5;9;973.17;133.67;61.49;0.07;8.58;24.58;7.42;7.37;
5794;44.4321;2.9892;REF;REF;10.35;47;1.37;1;65;5;10;1132.44;135.17;62.19;0.07;10;29.8;7.77;7.33;
5795;44.4315;3.0896;REF;REF;10.18;44;1.03;1;65;3;10;1147.65;137.33;61.79;0.07;10.02;29.71;7.73;7.33;
5796;44.4307;3.19;REF;REF;10.15;51;0.77;0;72;3;10;887.49;123.57;65.29;0.07;7.55;25.3;5.32;7.33;
5797;44.4299;3.2904;REF;REF;9.52;38;0.37;0;74;3;9;916.24;129.43;64.32;0.07;7.41;26.26;7.64;7.33;
5798;44.429;3.3908;REF;REF;9.22;34;0.2;0;77;3;10;935.47;129.07;64.53;0.03;7.55;26.63;7.8;7.3;
5799;44.428;3.4911;REF;REF;8.6;25;0.07;0;82;3;10;962.43;135.13;63.67;0.03;7.54;27.31;8.71;7.37;
5800;44.4269;3.5915;REF;REF;7.64;12;0;0;94;2;8;1516.12;123.4;75.45;0.07;10.6;58.93;10.19;7.4;
5801;44.4257;3.6919;REF;REF;6;2;0;0;113;3;7;1628.64;129.67;74.25;0.1;11.46;62.27;13.62;7.33;
5802;44.4244;3.7923;REF;REF;5.99;2;0;0;113;3;6;1629.75;129.63;74.25;0.1;11.48;62.29;13.64;7.3;
5803;44.423;3.8926;REF;REF;8.48;18;0;0;75;3;7;1728.68;117;78.74;0.07;11.63;71.06;8.82;7.33;
5804;44.4215;3.993;REF;REF;11.52;46;0.3;4;34;2;7;1463.3;102.07;81.13;0.07;10.42;60.51;7.6;7.33;
5805;44.42;4.0934;REF;REF;12.56;66;1.6;9;34;2;8;1212.53;94.97;81.31;0.07;8.96;49.22;5.7;7.37;
5806;44.4183;4.1937;REF;REF;13.34;80;3.03;12;30;2;6;1122.01;93.1;81.38;0.1;8.15;46.37;6.76;7.3;
5807;44.4166;4.2941;REF;REF;13.39;80;2.57;13;28;1;6;954.21;86.7;82.07;0.1;7.1;39.15;7.41;7.33;
5808;44.4147;4.3944;REF;REF;13.43;80;2.73;13;27;1;7;939.49;86.87;81.94;0.07;7.01;37.02;7.49;7.37;
5809;44.4128;4.4947;REF;REF;12.28;61;1.37;9;35;1;7;1034.16;89.4;81.82;0.07;7.79;41.15;6.39;7.33;
5810;44.4108;4.5951;REF;REF;12.57;66;1.5;13;35;1;7;939.81;85.17;82.57;0.07;6.83;38.21;7.83;7.3;
5811;44.4087;4.6954;REF;REF;14.17;93;3.27;22;23;1;6;726.19;80.23;81.84;0.1;5.53;30.03;8.79;7.33;
5812;44.4065;4.7957;REF;REF;13.65;83;2.37;18;26;2;7;760.18;80.93;81.88;0.1;5.88;31.28;7.63;7.4;
5813;44.4042;4.896;REF;REF;13.52;81;2.23;17;28;2;7;770.37;81.4;81.89;0.1;5.99;31.67;7.37;7.33;
5814;44.4018;4.9963;REF;REF;13.73;96;3.87;13;40;4;5;760.02;90.23;77.42;0.07;6.17;27.87;5.54;7.33;
5815;44.3993;5.0966;REF;REF;11.8;68;1.17;2;62;4;7;849.07;92.6;77.21;0.07;6.91;30.42;5.46;7.33;
5816;44.3967;5.1969;REF;REF;12.3;75;1.33;4;56;4;7;828.15;92.67;77.2;0.07;6.72;29.63;5.42;7.3;
5817;44.3941;5.2971;REF;REF;10.88;55;0.57;1;75;5;7;892.97;95.03;76.7;0.1;7.2;32.04;5.78;7.33;
5818;44.3913;5.3974;REF;REF;10.17;47;0.33;0;84;5;7;926.41;95.4;76.72;0.1;7.5;33.31;6.21;7.33;
5819;44.3885;5.4976;REF;REF;10.05;62;0.43;0;105;4;7;895.11;98.43;74.55;0.07;7.67;30.84;6.3;7.33;
5820;44.3855;5.5979;REF;REF;9.23;50;0.1;0;117;4;8;938.59;100.23;74.38;0.1;8.07;32.48;6.58;7.33;
5821;44.3825;5.6981;REF;REF;9.6;56;0.27;0;112;4;7;919.07;98.5;74.62;0.1;7.9;31.95;6.43;7.33;
5822;44.3794;5.7983;REF;REF;9.79;58;0.33;0;110;5;8;911.04;99.3;74.49;0.1;8.06;31.91;6.39;7.33;
5823;44.3762;5.8985;REF;REF;10.54;66;0.37;0;99;4;7;837.41;95.67;75.51;0.07;7.24;29.56;4.41;7.3;
5824;44.3729;5.9987;REF;REF;9.68;56;0.3;0;115;4;7;900.94;96.6;75.59;0.07;7.72;33.71;4.21;7.3;
5825;44.3695;6.0989;REF;REF;7.91;28;0;0;128;3;6;1003.05;97.97;75.76;0.07;8.43;36.64;4.89;7.27;
5826;44.366;6.1991;REF;REF;7.78;26;0;0;131;4;6;1002.13;98.87;75.31;0.07;8.45;35.54;4.94;7.3;
5827;44.3624;6.2992;REF;REF;7.57;26;0;0;138;5;5;781.99;105.8;70.65;0.07;6.47;24.67;4.03;7.37;
5828;44.3587;6.3994;REF;REF;5.62;3;0;0;151;4;5;859.69;109;69.93;0.07;7.19;26.92;4.11;7.37;
5829;44.355;6.4995;REF;REF;4.25;0;0;0;162;4;4;918.92;113.73;69.25;0.1;7.61;28.61;4.54;7.3;
5830;44.3511;6.5996;REF;REF;5.34;2;0;0;153;3;4;875.49;109.23;70.41;0.07;7.37;28.31;4.25;7.43;
5831;44.3472;6.6997;REF;REF;4.19;0;0;0;164;3;3;929.71;111.7;70.22;0.07;7.84;29.15;4.63;7.37;
5832;44.3431;6.7998;REF;REF;1.72;0;0;0;193;5;2;1033.46;113.1;70.51;0.07;8.66;32.24;5.62;7.33;
5833;44.339;6.8999;REF;REF;2.71;0;0;0;167;2;2;1353.73;117.77;74.03;0.03;10.42;49.29;7.41;7.4;
5834;44.3348;7;REF;REF;4.57;0;0;0;138;2;2;1268.42;114.17;74.5;0.07;9.86;46.76;6.75;7.4;
5895;44.448;-1.23;REF;REF;13.64;43;0.67;6;16;4;4;873.78;126.17;62.92;0.07;7.61;22.33;8.09;7.37;
5896;44.4512;-1.1296;REF;REF;13.64;43;0.57;6;17;4;4;878.15;126.43;63.17;0.07;7.59;23.31;8.1;7.4;
5897;44.4543;-1.0293;REF;REF;13.04;70;2.07;3;38;4;6;1037.14;135.2;61.97;0.07;9.03;27.11;4.54;7.33;
5898;44.4574;-0.9289;REF;REF;12.99;67;1.77;3;35;5;6;909.51;127.5;63.29;0.07;7.87;24.25;5.17;7.23;
5899;44.4603;-0.8286;REF;REF;13.03;68;1.83;3;35;4;6;905.48;127.43;63.23;0.07;7.91;23.6;5.22;7.4;
5900;44.4632;-0.7282;REF;REF;12.91;66;1.67;3;35;4;6;912.75;128.07;63.15;0.07;7.93;23.73;5.21;7.33;
5901;44.4659;-0.6278;REF;REF;12.8;63;1.63;3;35;4;6;920.09;128.17;63.14;0.07;8;23.92;5.19;7.33;
5902;44.4686;-0.5274;REF;REF;12.85;64;1.63;3;35;4;6;919.06;128;63.21;0.07;7.99;24.17;5.18;7.33;
5903;44.4712;-0.427;REF;REF;13;68;1.93;3;34;3;6;909.52;127.73;63.13;0.07;7.98;23.62;5.21;7.33;
5904;44.4737;-0.3266;REF;REF;12.94;68;1.73;4;35;3;6;824.48;118.93;65.49;0.07;7.05;22.51;4.84;7.33;
5905;44.4761;-0.2262;REF;REF;12.86;61;1.17;5;30;3;6;807.74;120.37;64.49;0.07;6.98;21.07;4.94;7.3;
5906;44.4784;-0.1257;REF;REF;12.94;63;1.4;5;29;3;6;802.08;120.5;64.51;0.1;7.05;21.03;4.93;7.3;
5907;44.4806;-0.0253;REF;REF;12.95;63;1.4;5;29;3;6;801.67;120.5;64.57;0.1;7.04;21.03;4.94;7.3;
5908;44.4827;0.0752;REF;REF;13.09;70;1.43;6;32;3;5;739.22;117.2;65.92;0.1;6.28;20.68;4.88;7.4;
5909;44.4847;0.1756;REF;REF;13.19;73;1.67;6;32;3;5;732.72;116.77;65.87;0.1;6.23;20.51;4.94;7.3;
5910;44.4866;0.2761;REF;REF;12.98;65;1.37;6;32;3;6;754.98;116.73;65.58;0.1;6.45;20.87;4.82;7.3;
5911;44.4885;0.3766;REF;REF;12.85;62;1.27;6;31;3;6;765.36;117.53;65.54;0.1;6.54;21.13;4.81;7.33;
5912;44.4902;0.477;REF;REF;12.79;61;1.23;6;31;3;6;769.2;117.67;65.54;0.1;6.57;21.24;4.79;7.37;
5913;44.4919;0.5775;REF;REF;12.87;62;1.57;6;30;3;6;792.99;122.2;64.05;0.1;6.75;21.68;4.92;7.33;
5914;44.4934;0.678;REF;REF;12.81;61;1.4;6;30;3;6;795.75;122.43;64.03;0.1;6.76;22.08;4.9;7.33;
5915;44.4949;0.7785;REF;REF;12.91;64;1.47;6;30;3;6;787.91;122.23;64.03;0.1;6.7;21.86;4.93;7.3;
5916;44.4963;0.879;REF;REF;12.81;61;1.47;6;30;3;6;791.88;122.37;63.83;0.07;6.8;21.8;4.89;7.37;
5917;44.4976;0.9795;REF;REF;12.94;64;1.57;7;29;3;7;780.7;119.77;65.4;0.07;6.7;22.39;4.98;7.3;
5918;44.4988;1.08;REF;REF;12.99;72;3.1;5;34;3;8;833.05;120.63;63.97;0.1;7.39;22.43;5.72;7.3;
5919;44.4999;1.1805;REF;REF;12.99;72;3.1;5;34;4;8;832.91;120.8;63.83;0.1;7.44;21.9;5.72;7.33;
5920;44.5009;1.281;REF;REF;12.65;63;2.2;4;35;5;8;862.45;123.97;63.74;0.07;7.62;22.91;5.42;7.33;
5921;44.5018;1.3815;REF;REF;12.77;68;2.9;5;35;4;8;847.9;121.2;63.72;0.1;7.59;22.33;5.57;7.33;
5922;44.5026;1.4821;REF;REF;12.62;66;3.3;5;36;3;9;905.03;129.27;62.2;0.07;7.81;23.52;5.92;7.33;
5923;44.5034;1.5826;REF;REF;12.57;65;3.27;5;37;3;9;908.33;129.27;62.21;0.07;7.84;23.61;5.9;7.33;
5924;44.504;1.6831;REF;REF;12.57;65;3.43;5;37;3;10;905.89;129.33;62.17;0.07;7.82;23.32;5.9;7.33;
5925;44.5046;1.7836;REF;REF;12.4;62;3.2;5;38;3;10;920.73;129.37;62.44;0.1;7.93;23.16;5.83;7.4;
5926;44.505;1.8842;REF;REF;12.42;62;3.2;5;38;3;10;919.47;129.47;62.47;0.1;7.92;23.12;5.83;7.4;
5927;44.5054;1.9847;REF;REF;12.38;63;2.6;4;37;4;9;998.85;130.27;61.99;0.07;8.86;24.82;5.53;7.3;
5928;44.5057;2.0852;REF;REF;12.2;60;2.23;4;37;4;8;1012.77;131.53;61.97;0.1;8.97;25.29;5.51;7.33;
5929;44.5059;2.1858;REF;REF;11.67;49;1.4;4;40;4;8;1053.28;133.93;61.66;0.07;9.32;26.36;5.48;7.3;
5930;44.506;2.2863;REF;REF;11.9;54;1.6;4;39;4;9;1032.63;133.13;61.76;0.1;9.2;25.54;5.5;7.33;
5931;44.506;2.3868;REF;REF;12.08;57;1.97;4;38;4;8;1019.56;131.8;61.93;0.1;9.05;25.28;5.51;7.37;
5932;44.5059;2.4874;REF;REF;11.85;53;1.6;4;39;4;8;1037.28;133;61.75;0.1;9.25;25.43;5.49;7.4;
5933;44.5057;2.5879;REF;REF;11.36;45;1.13;4;42;4;9;1074.11;134.5;61.73;0.07;9.53;26.31;5.51;7.33;
5934;44.5054;2.6884;REF;REF;11.29;58;2.13;2;55;4;9;1060.98;132.93;62.43;0.07;9.28;27.34;7.84;7.33;
5935;44.505;2.789;REF;REF;11.16;57;1.9;2;57;4;9;1071.6;133.27;62.44;0.1;9.35;27.67;7.84;7.3;
5936;44.5046;2.8895;REF;REF;10.75;49;1.07;1;57;5;12;1135.26;137.97;60.11;0.1;10.4;26.99;6.35;7.37;
5937;44.504;2.99;REF;REF;9.81;37;0.53;1;66;5;11;1206.55;143.1;59.46;0.1;11.01;28.55;6.33;7.27;
5938;44.5034;3.0905;REF;REF;8.55;30;0.1;0;91;3;10;976.16;135.83;61.53;0.03;8.4;25.54;6.26;7.3;
5939;44.5027;3.1911;REF;REF;9.44;41;0.53;0;81;3;10;921.05;123.7;65.56;0.07;7.9;26.06;5.46;7.33;
5940;44.5018;3.2916;REF;REF;9.9;47;0.73;0;75;3;9;899.23;123.37;65.44;0.07;7.73;25.32;5.33;7.27;
5941;44.5009;3.3921;REF;REF;9.4;40;0.43;0;82;3;10;927.41;124.47;65.76;0.03;7.83;26.54;5.47;7.33;
5942;44.4999;3.4926;REF;REF;9.38;36;0.23;0;75;3;10;924.03;128.4;64.47;0.03;7.53;26.2;7.62;7.3;
5943;44.4988;3.5931;REF;REF;8.2;24;0.03;0;94;4;10;986.39;129.33;64.65;0.1;8.15;28.08;6.38;7.33;
5944;44.4976;3.6936;REF;REF;7.29;13;0;0;105;3;11;1036.26;128.1;65.12;0.1;8.76;30;7.29;7.3;
5945;44.4963;3.7941;REF;REF;7.17;17;0.03;0;113;2;10;907.73;134.43;63.11;0.14;7.15;26;7.78;7.4;
5946;44.4949;3.8946;REF;REF;9.37;29;0.03;0;66;3;8;1655.74;113.63;79.47;0.1;11.24;68.93;7.98;7.33;
5947;44.4935;3.9951;REF;REF;10.2;35;0.2;1;55;4;8;1814.25;110.77;80.89;0.1;12.08;75.9;6.18;7.33;
5948;44.4919;4.0956;REF;REF;11.34;49;0.7;3;42;4;8;1717.34;107.7;81.49;0.1;11.52;72.6;4.67;7.37;
5949;44.4902;4.1961;REF;REF;12.78;70;2.03;10;34;2;8;1176.42;94.2;81.14;0.1;8.79;47.41;6.06;7.3;
5950;44.4885;4.2966;REF;REF;13.34;79;2.97;12;29;1;7;1111.66;93.03;81.2;0.07;8.19;45.13;6.76;7.37;
5951;44.4867;4.397;REF;REF;13.21;76;2.47;13;29;1;7;957.68;86.7;81.97;0.07;7.23;38.38;7.2;7.3;
5952;44.4847;4.4975;REF;REF;12.67;68;1.77;11;34;1;6;1002.91;88.37;81.85;0.1;7.46;39.46;6.7;7.37;
