#-----------------------------------------------------------------------------
# Date d'extraction : 31/03/2025 - 09h22 loc.
#-----------------------------------------------------------------------------
# Producteur : MF-DCSC
# Experience : EUROCORDEX2020
# Modele     : ALADIN63_CNRM-CM5
# Scenario :
#     REF : rÃ©fÃ©rence
#-----------------------------------------------------------------------------
# Horizons :
#     REF : RÃ©fÃ©rence
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     NORTAV : TempÃ©rature moyenne journaliÃ¨re (Â°C)
#     NORSD : Nombre de journÃ©es d'Ã©tÃ© (jour(s))
#     NORTX35 : Nombre de jours de fortes chaleur ( TX>35Â°C ) (jour(s))
#     NORTR : Nombre de nuits tropicales (jour(s))
#     NORTNFD : Nombre de jours de gel (jour(s))
#     NORTNCWD : Nombre de jours d'une vague de froid (jour(s))
#     NORTXHWD : Nombre de jours d'une vague de chaleur (jour(s))
#     NORRR : Cumul de prÃ©cipitation (mm)
#     NORRR1MM : Nombre de jours de pluie (jour(s))
#     NORPFL90 : Fraction des prÃ©cipitations journaliÃ¨res intenses (%)
#     NORTPSPI : Temps passÃ© en sÃ©cheresse mÃ©tÃ©orologique
#     NORPQ90 : prÃ©cipitations intenses (Q90) (mm)
#     NORPQ99 : prÃ©cipitations extrÃªmes (Q99) (mm)
#     NORFFQ98 : vent fort (Q98) (m/s)
#     NORFF98 : nombre de jours de vent fort (jour(s))
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;Contexte;PÃ©riode;NORTAV;NORSD;NORTX35;NORTR;NORTNFD;NORTNCWD;NORTXHWD;NORRR;NORRR1MM;NORPFL90;NORTPSPI;NORPQ90;NORPQ99;NORFFQ98;NORFF98;
#-----------------------------------------------------------------------------
996;41.7724;9.1038;REF;REF;11.88;30;0.13;15;19;1;7;1354.26;114.53;73.07;0.03;11.23;45.45;5.59;7.3;
997;41.7661;9.1993;REF;REF;11.61;27;0.1;14;21;1;7;1373.31;117.3;72.64;0.03;11.29;45.79;5.72;7.33;
998;41.7598;9.2948;REF;REF;13.66;57;0.57;21;9;1;6;1219.24;112.37;73.03;0.07;10.1;41.42;4.52;7.33;
999;41.7535;9.3902;REF;REF;15.87;94;0.93;40;3;1;2;843.55;93.47;78.46;0.07;6.13;34.12;7.46;7.33;
1134;41.8737;8.6336;REF;REF;15.66;92;0.5;26;5;0;0;713.97;85.47;78.72;0.07;5.91;26.04;5.64;7.33;
1135;41.8679;8.7294;REF;REF;15.66;93;0.47;27;4;0;0;718.61;85.2;79.18;0.03;5.84;25.99;5.67;7.33;
1136;41.862;8.8251;REF;REF;14.87;70;0.53;25;5;0;1;799.72;88.2;79.01;0.03;6.53;28.97;5.46;7.27;
1137;41.856;8.9207;REF;REF;13.82;56;1.03;23;7;0;5;1032.35;104.1;74.86;0.03;8.56;35.14;4.68;7.33;
1138;41.85;9.0164;REF;REF;14.08;61;1.1;24;6;1;6;1019.17;103.5;75.13;0.03;8.22;34.82;4.69;7.33;
1139;41.8439;9.112;REF;REF;9.9;11;0;8;39;2;4;1484.49;118.33;72.56;0.03;12.5;49.59;6.81;7.3;
1140;41.8376;9.2077;REF;REF;8.28;2;0;2;59;2;3;1603;120.97;72.05;0.07;13.45;52.03;7.59;7.33;
1141;41.8313;9.3033;REF;REF;14.12;59;0.53;31;5;1;4;989.97;100.43;78.01;0.07;7.26;37.75;6.37;7.3;
1142;41.8249;9.3988;REF;REF;16.02;92;0.07;49;1;0;2;827.8;79.57;84.82;0.03;5;38.14;5.63;7.33;
1276;41.9509;8.5455;REF;REF;15.66;92;0.5;26;5;0;0;713.97;85.47;78.72;0.03;5.91;26.04;5.64;7.33;
1277;41.9452;8.6413;REF;REF;15.13;76;0.33;26;4;0;0;767.29;87.63;78.59;0.03;6.37;27.93;5.42;7.33;
1278;41.9394;8.7372;REF;REF;15.17;77;0.3;26;4;0;0;762.41;87.4;78.59;0.03;6.33;27.76;5.43;7.4;
1279;41.9335;8.833;REF;REF;15.25;80;0.27;26;4;0;0;757.85;87.1;78.9;0.03;6.28;27.65;5.4;7.33;
1280;41.9276;8.9288;REF;REF;13.91;54;0.5;21;7;1;5;887.28;89.17;79.25;0.03;7.14;31.97;5.03;7.3;
1281;41.9215;9.0246;REF;REF;11.44;25;0.1;15;22;1;6;1205.65;111.3;74.14;0.03;9.96;40.8;5.72;7.4;
1282;41.9154;9.1203;REF;REF;12.11;33;0.17;15;17;1;6;1328.93;114.4;72.87;0.03;11.25;44.52;5.44;7.27;
1283;41.9091;9.216;REF;REF;9.29;8;0;1;49;1;4;1170.36;113.83;73.09;0.07;9.5;40.01;7.06;7.33;
1284;41.9028;9.3118;REF;REF;14.09;61;0.23;29;7;1;4;964.79;83;84.76;0.03;5.85;44.41;5.03;7.27;
1285;41.8964;9.4075;REF;REF;16.34;95;0.07;54;0;0;1;806.17;79.17;84.86;0.03;4.85;37.33;5.75;7.33;
1420;42.0168;8.649;REF;REF;15.56;89;0.43;26;4;0;0;724.48;86.17;78.68;0.03;6;26.41;5.6;7.33;
1421;42.011;8.745;REF;REF;14.84;70;0.57;25;5;0;1;796.87;88.27;78.57;0.03;6.6;28.98;5.41;7.33;
