#-----------------------------------------------------------------------------
# Date d'extraction : 31/03/2025 - 09h46 loc.
#-----------------------------------------------------------------------------
# Producteur : MF-DCSC
# Experience : FEU_METEO2022
# Modele     : ALADIN63_CNRM-CM5
# Scenario :
#     RCP2.6 : Emissions maÃ®trisÃ©es
#-----------------------------------------------------------------------------
# Horizons :
#     H1 : Horizon proche
#     H2 : Horizon moyen
#     H3 : Horizon lointain
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     NORIFM40 : Indicateur feux de forÃªt nbj sup Ã  40 (jour)
#     NORIFMxAV : IFMx moyen
#     NORIFMx50 : Danger Feu MÃ©tÃ©o vÃ©gÃ©tation vivante ElevÃ© (jour)
#     AIFM40 : Ecart de indicateur feux de forÃªt nbj sup Ã  40 (jour)
#     AIFMxAV : Ecart de ifmx moyen
#     AIFMx50 : Ecart de danger feu mÃ©tÃ©o vÃ©gÃ©tation vivante elevÃ© (jour)
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;Contexte;PÃ©riode;NORIFM40;NORIFMxAV;NORIFMx50;AIFM40;AIFMxAV;AIFMx50;
#-----------------------------------------------------------------------------
1285;41.8964;9.4075;RCP2.6;H1;9;10.41;1;5;0.65;1;
1420;42.0168;8.649;RCP2.6;H1;7;11.01;3;-2;1.08;1;
1421;42.011;8.745;RCP2.6;H1;15;10.54;4;6;1.42;2;
1422;42.0051;8.8409;RCP2.6;H1;17;10.62;8;5;1.55;3;
1423;41.9991;8.9368;RCP2.6;H1;22;9.4;9;12;1.83;6;
1424;41.993;9.0327;RCP2.6;H1;21;9;9;12;1.86;5;
1425;41.9869;9.1286;RCP2.6;H1;20;5.58;1;19;1.15;0;
1426;41.9806;9.2245;RCP2.6;H1;4;5.9;0;2;1.11;0;
1427;41.9743;9.3203;RCP2.6;H1;3;9.44;2;-2;1.14;1;
1428;41.9679;9.4161;RCP2.6;H1;10;10.46;2;5;0.64;1;
1562;42.0941;8.5607;RCP2.6;H1;7;11.1;5;-3;0.93;2;
1563;42.0883;8.6568;RCP2.6;H1;16;11.07;5;6;0.93;2;
1564;42.0825;8.7528;RCP2.6;H1;15;10.84;5;5;1.26;2;
1565;42.0766;8.8489;RCP2.6;H1;18;9.42;6;9;1.8;3;
1566;42.0706;8.9449;RCP2.6;H1;18;9.33;7;9;1.75;4;
1567;42.0646;9.0409;RCP2.6;H1;19;8.49;7;11;1.85;5;
1568;42.0584;9.1369;RCP2.6;H1;17;5.12;0;16;0.95;0;
1569;42.0522;9.2329;RCP2.6;H1;1;6.66;2;0;1.49;1;
1570;42.0458;9.3288;RCP2.6;H1;6;10.13;2;1;1.11;2;
1571;42.0394;9.4248;RCP2.6;H1;11;10.32;2;7;0.75;1;
1572;42.0329;9.5207;RCP2.6;H1;6;10.4;2;2;0.73;1;
1637;42.3488;1.9977;RCP2.6;H1;8;5.27;0;8;0.53;0;
1638;42.349;2.0945;RCP2.6;H1;0;4.95;0;0;0.45;0;
1641;42.3493;2.385;RCP2.6;H1;0;3.97;0;0;0.65;0;
1642;42.3492;2.4818;RCP2.6;H1;1;4.54;0;0;0.81;0;
1643;42.349;2.5786;RCP2.6;H1;1;4.87;0;1;0.81;0;
1644;42.3488;2.6754;RCP2.6;H1;1;5.74;0;1;0.88;0;
1705;42.1656;8.5683;RCP2.6;H1;2;11;5;-8;0.96;2;
1706;42.1599;8.6645;RCP2.6;H1;15;10.28;6;5;1.41;2;
1707;42.1541;8.7607;RCP2.6;H1;18;9.35;5;10;1.6;2;
1708;42.1482;8.8569;RCP2.6;H1;15;9.37;7;6;1.82;4;
1709;42.1422;8.953;RCP2.6;H1;18;8.62;7;10;1.84;4;
1710;42.1361;9.0491;RCP2.6;H1;17;6.11;1;15;1.4;1;
1711;42.1299;9.1452;RCP2.6;H1;4;5.81;0;3;1.15;0;
1712;42.1237;9.2413;RCP2.6;H1;3;7.8;2;0;1.61;2;
1713;42.1173;9.3374;RCP2.6;H1;9;9.93;3;4;1.21;2;
1714;42.1109;9.4334;RCP2.6;H1;12;10.23;2;8;0.78;1;
1715;42.1044;9.5295;RCP2.6;H1;6;10.39;2;2;0.73;1;
1779;42.4202;1.9004;RCP2.6;H1;2;8.4;2;1;0.85;1;
1780;42.4206;1.9973;RCP2.6;H1;5;7.04;1;4;0.8;0;
1781;42.4208;2.0942;RCP2.6;H1;3;4.36;0;3;0.39;0;
1782;42.421;2.1912;RCP2.6;H1;0;3.69;0;0;-0.02;0;
1783;42.4211;2.2881;RCP2.6;H1;0;3.82;0;0;0.13;0;
1784;42.4211;2.3851;RCP2.6;H1;0;3.12;0;0;0.36;0;
1785;42.421;2.482;RCP2.6;H1;0;3.77;0;0;0.36;0;
1786;42.4209;2.5789;RCP2.6;H1;0;5.13;0;0;0.65;0;
1787;42.4206;2.6759;RCP2.6;H1;1;4.61;0;1;0.61;0;
1788;42.4202;2.7728;RCP2.6;H1;1;5.75;0;0;0.83;0;
1789;42.4198;2.8697;RCP2.6;H1;2;11.92;9;-9;0.89;4;
1791;42.4186;3.0636;RCP2.6;H1;17;15.19;21;-4;1.04;7;
1792;42.4179;3.1605;RCP2.6;H1;29;18.18;29;-2;0.82;5;
1848;42.2372;8.576;RCP2.6;H1;35;10.82;4;26;1.02;2;
1849;42.2315;8.6723;RCP2.6;H1;15;9.79;6;6;1.61;3;
1850;42.2256;8.7686;RCP2.6;H1;18;9.45;8;8;1.86;4;
1851;42.2197;8.8649;RCP2.6;H1;19;8.9;8;10;1.86;4;
1852;42.2137;8.9611;RCP2.6;H1;17;5.66;0;17;1.25;0;
1853;42.2076;9.0574;RCP2.6;H1;3;5.22;0;2;1.12;0;
1854;42.2015;9.1536;RCP2.6;H1;2;6.95;1;-1;1.3;1;
1855;42.1952;9.2498;RCP2.6;H1;7;9.65;3;1;1.67;3;
1856;42.1889;9.346;RCP2.6;H1;13;9.73;3;9;1.31;2;
1857;42.1824;9.4421;RCP2.6;H1;12;9.94;1;7;1.05;1;
1858;42.1759;9.5383;RCP2.6;H1;7;10.23;2;2;0.99;1;
1918;42.4897;1.5116;RCP2.6;H1;6;4.29;0;6;0.4;0;
1919;42.4905;1.6087;RCP2.6;H1;0;3.21;0;0;0.11;0;
1920;42.4911;1.7057;RCP2.6;H1;0;3.04;0;0;0.01;0;
1921;42.4916;1.8028;RCP2.6;H1;0;3.49;0;0;0.1;0;
1922;42.4921;1.8998;RCP2.6;H1;0;4.65;0;0;0.28;0;
1923;42.4924;1.9969;RCP2.6;H1;0;5.76;0;0;0.4;0;
1924;42.4927;2.0939;RCP2.6;H1;1;5.47;0;0;0.52;0;
1925;42.4929;2.191;RCP2.6;H1;1;4.61;0;1;0.41;0;
1926;42.4929;2.2881;RCP2.6;H1;1;4.51;0;1;0.33;0;
1927;42.4929;2.3851;RCP2.6;H1;1;4.82;0;0;0.41;0;
1928;42.4929;2.4822;RCP2.6;H1;1;2.96;0;1;0.17;0;
1929;42.4927;2.5792;RCP2.6;H1;0;4.26;0;0;0.58;0;
1930;42.4924;2.6763;RCP2.6;H1;1;7.09;1;0;0.74;1;
1931;42.4921;2.7733;RCP2.6;H1;3;12.05;7;-6;0.98;4;
1932;42.4916;2.8704;RCP2.6;H1;16;10.91;5;9;0.89;3;
1933;42.4911;2.9674;RCP2.6;H1;13;9.63;4;8;0.87;2;
1934;42.4905;3.0645;RCP2.6;H1;10;14.92;20;-11;1.04;7;
1935;42.4898;3.1615;RCP2.6;H1;27;19.49;34;-7;0.82;5;
1991;42.3088;8.5836;RCP2.6;H1;38;11.13;4;28;1;1;
1992;42.303;8.6801;RCP2.6;H1;16;10.65;4;5;1.26;1;
1993;42.2972;8.7765;RCP2.6;H1;17;7.31;2;14;1.51;1;
1994;42.2913;8.8729;RCP2.6;H1;7;5.71;0;6;1.28;0;
1995;42.2853;8.9693;RCP2.6;H1;3;5.41;0;2;1.15;0;
1996;42.2792;9.0656;RCP2.6;H1;2;6.07;1;1;1.35;1;
1997;42.273;9.162;RCP2.6;H1;5;8.16;2;1;1.46;2;
1998;42.2667;9.2583;RCP2.6;H1;10;8.76;2;7;1.4;1;
1999;42.2604;9.3546;RCP2.6;H1;9;8.04;1;7;1.52;1;
2000;42.2539;9.4509;RCP2.6;H1;7;9.31;2;3;1.33;1;
2001;42.2474;9.5471;RCP2.6;H1;9;10.22;2;4;0.99;1;
2061;42.5616;1.5106;RCP2.6;H1;0;3.66;0;0;0.27;0;
2062;42.5623;1.6078;RCP2.6;H1;0;3.08;0;0;0.14;0;
