Point;Latitude;Longitude;Contexte;P̩riode;NORIFM40;NORIFMxAV;NORIFMx50;AIFM40;AIFMxAV;AIFMx50;
139;41.3373;9.1495;RCP4.5;H1;48;17;27;7;1.42;6;
281;41.4149;9.0628;RCP4.5;H1;45;16.82;27;4;1.28;7;
282;41.4087;9.1577;RCP4.5;H1;47;15.86;24;11;1.44;7;
283;41.4025;9.2527;RCP4.5;H1;43;16.87;27;3;1.42;6;
422;41.4985;8.8808;RCP4.5;H1;44;16.57;26;5;1.28;6;
423;41.4925;8.9759;RCP4.5;H1;46;15.83;24;10;1.29;6;
424;41.4864;9.071;RCP4.5;H1;43;16.16;25;6;1.29;6;
425;41.4802;9.166;RCP4.5;H1;45;14.92;21;13;1.44;7;
426;41.4739;9.261;RCP4.5;H1;40;16.32;26;2;1.44;7;
564;41.5759;8.7935;RCP4.5;H1;16;10.85;3;7;0.85;2;
565;41.57;8.8888;RCP4.5;H1;14;10.53;4;5;0.96;1;
566;41.564;8.984;RCP4.5;H1;15;10.37;4;4;1.08;1;
567;41.5579;9.0791;RCP4.5;H1;16;8.81;4;7;1.25;2;
568;41.5517;9.1743;RCP4.5;H1;14;14.68;21;-17;1.44;7;
569;41.5454;9.2694;RCP4.5;H1;39;16.14;25;2;1.43;7;
707;41.6474;8.8014;RCP4.5;H1;17;10.89;4;6;0.91;2;
708;41.6415;8.8967;RCP4.5;H1;16;10.79;6;4;1.38;3;
709;41.6355;8.992;RCP4.5;H1;18;10.69;7;7;1.45;4;
710;41.6294;9.0873;RCP4.5;H1;19;9.27;6;10;1.57;3;
711;41.6232;9.1826;RCP4.5;H1;16;9.26;6;7;1.58;4;
712;41.6169;9.2779;RCP4.5;H1;17;11.71;6;7;1.37;3;
849;41.7248;8.7138;RCP4.5;H1;17;10.93;4;7;0.91;2;
850;41.719;8.8093;RCP4.5;H1;16;10.9;4;5;0.91;2;
851;41.713;8.9047;RCP4.5;H1;16;10.32;6;4;1.17;2;
852;41.707;9.0001;RCP4.5;H1;18;9.47;6;9;1.58;3;
853;41.7009;9.0955;RCP4.5;H1;17;9.28;6;8;1.57;3;
854;41.6946;9.1909;RCP4.5;H1;16;9.34;8;5;1.67;5;
855;41.6884;9.2863;RCP4.5;H1;19;10.68;7;9;1.53;4;
856;41.682;9.3817;RCP4.5;H1;18;11.75;6;8;1.26;3;
992;41.7963;8.7216;RCP4.5;H1;8;10.82;4;-3;0.92;2;
993;41.7905;8.8171;RCP4.5;H1;16;10.08;6;4;1.21;2;
994;41.7845;8.9127;RCP4.5;H1;18;9.19;3;10;1.13;2;
995;41.7785;9.0083;RCP4.5;H1;13;9.39;8;2;1.7;4;
996;41.7724;9.1038;RCP4.5;H1;20;8.53;6;12;1.69;4;
997;41.7661;9.1993;RCP4.5;H1;15;8.2;5;8;1.67;3;
998;41.7598;9.2948;RCP4.5;H1;14;8.32;4;8;1.62;3;
999;41.7535;9.3902;RCP4.5;H1;13;11.51;6;3;1.32;3;
1134;41.8737;8.6336;RCP4.5;H1;8;10.82;4;-1;0.74;2;
1135;41.8679;8.7294;RCP4.5;H1;14;11.07;5;3;0.98;2;
1136;41.862;8.8251;RCP4.5;H1;16;10.38;5;4;1.18;2;
1137;41.856;8.9207;RCP4.5;H1;17;8.85;5;7;1.32;2;
1138;41.85;9.0164;RCP4.5;H1;16;9.27;6;7;1.59;3;
1139;41.8439;9.112;RCP4.5;H1;17;6.25;2;15;1.45;2;
1140;41.8376;9.2077;RCP4.5;H1;6;5.64;1;5;1.3;1;
1141;41.8313;9.3033;RCP4.5;H1;4;9.94;6;-4;1.62;4;
1142;41.8249;9.3988;RCP4.5;H1;15;10.45;2;11;0.92;2;
1276;41.9509;8.5455;RCP4.5;H1;8;10.82;4;-1;0.74;2;
1277;41.9452;8.6413;RCP4.5;H1;14;10.3;4;5;0.89;2;
1278;41.9394;8.7372;RCP4.5;H1;14;10.34;3;5;0.88;1;
1279;41.9335;8.833;RCP4.5;H1;14;10.69;6;2;1.1;3;
1280;41.9276;8.9288;RCP4.5;H1;17;9.9;7;6;1.51;4;
1281;41.9215;9.0246;RCP4.5;H1;18;8.75;8;9;1.65;4;
1282;41.9154;9.1203;RCP4.5;H1;17;8.38;5;10;1.64;3;
1283;41.9091;9.216;RCP4.5;H1;13;6.02;1;12;1.33;1;
1284;41.9028;9.3118;RCP4.5;H1;4;9.35;2;0;1.3;2;
1285;41.8964;9.4075;RCP4.5;H1;10;10.63;2;6;0.87;2;
1420;42.0168;8.649;RCP4.5;H1;7;10.69;3;-2;0.76;1;
1421;42.011;8.745;RCP4.5;H1;14;10.13;4;4;1.01;2;
1422;42.0051;8.8409;RCP4.5;H1;15;10.34;8;3;1.27;3;
1423;41.9991;8.9368;RCP4.5;H1;19;9.1;8;9;1.53;5;
1424;41.993;9.0327;RCP4.5;H1;19;8.68;8;10;1.54;4;
1425;41.9869;9.1286;RCP4.5;H1;17;5.74;1;16;1.31;1;
1426;41.9806;9.2245;RCP4.5;H1;5;6.07;1;4;1.28;1;
1427;41.9743;9.3203;RCP4.5;H1;4;9.62;2;0;1.32;2;
1428;41.9679;9.4161;RCP4.5;H1;11;10.73;2;6;0.91;1;
1562;42.0941;8.5607;RCP4.5;H1;7;10.95;5;-3;0.78;2;
1563;42.0883;8.6568;RCP4.5;H1;14;10.92;5;4;0.78;2;
1564;42.0825;8.7528;RCP4.5;H1;14;10.61;6;3;1.03;3;
1565;42.0766;8.8489;RCP4.5;H1;16;8.93;6;7;1.31;3;
1566;42.0706;8.9449;RCP4.5;H1;16;9.07;6;7;1.49;4;
1567;42.0646;9.0409;RCP4.5;H1;17;8.17;7;10;1.53;4;
1568;42.0584;9.1369;RCP4.5;H1;16;5.34;1;15;1.17;1;
1569;42.0522;9.2329;RCP4.5;H1;3;6.65;1;1;1.48;1;
1570;42.0458;9.3288;RCP4.5;H1;6;10.22;3;1;1.2;2;
1571;42.0394;9.4248;RCP4.5;H1;11;10.34;2;7;0.77;1;
1572;42.0329;9.5207;RCP4.5;H1;7;10.43;2;2;0.76;1;
1637;42.3488;1.9977;RCP4.5;H1;8;5.44;0;7;0.7;0;
1638;42.349;2.0945;RCP4.5;H1;1;5.12;0;1;0.62;0;
1641;42.3493;2.385;RCP4.5;H1;0;4;0;0;0.68;0;
1642;42.3492;2.4818;RCP4.5;H1;1;4.54;0;1;0.81;0;
1643;42.349;2.5786;RCP4.5;H1;2;4.93;1;2;0.87;1;
1644;42.3488;2.6754;RCP4.5;H1;2;5.79;1;2;0.93;1;
1705;42.1656;8.5683;RCP4.5;H1;2;10.83;5;-7;0.79;2;
1706;42.1599;8.6645;RCP4.5;H1;14;9.97;6;4;1.1;2;
1707;42.1541;8.7607;RCP4.5;H1;16;8.91;5;8;1.16;2;
1708;42.1482;8.8569;RCP4.5;H1;13;9.02;7;4;1.47;4;
1709;42.1422;8.953;RCP4.5;H1;16;8.31;6;9;1.53;4;
1710;42.1361;9.0491;RCP4.5;H1;16;6.01;1;15;1.3;1;
1711;42.1299;9.1452;RCP4.5;H1;5;5.97;1;4;1.31;1;
1712;42.1237;9.2413;RCP4.5;H1;4;7.75;2;1;1.56;2;
1713;42.1173;9.3374;RCP4.5;H1;9;10.01;3;4;1.29;2;
1714;42.1109;9.4334;RCP4.5;H1;12;10.23;2;7;0.78;1;
1715;42.1044;9.5295;RCP4.5;H1;7;10.42;2;2;0.76;1;
1779;42.4202;1.9004;RCP4.5;H1;3;8.67;2;1;1.12;2;
1780;42.4206;1.9973;RCP4.5;H1;5;7.24;1;4;1;1;
1781;42.4208;2.0942;RCP4.5;H1;3;4.58;0;3;0.61;0;
1782;42.421;2.1912;RCP4.5;H1;1;4.05;0;0;0.34;0;
1783;42.4211;2.2881;RCP4.5;H1;0;4.2;0;0;0.51;0;
1784;42.4211;2.3851;RCP4.5;H1;0;3.19;0;0;0.43;0;
1785;42.421;2.482;RCP4.5;H1;0;3.91;0;0;0.5;0;
1786;42.4209;2.5789;RCP4.5;H1;0;5.26;0;0;0.78;0;
1787;42.4206;2.6759;RCP4.5;H1;1;4.75;0;1;0.75;0;
1788;42.4202;2.7728;RCP4.5;H1;1;5.88;0;1;0.96;0;
1789;42.4198;2.8697;RCP4.5;H1;2;12.31;9;-8;1.28;4;
1791;42.4186;3.0636;RCP4.5;H1;18;15.55;21;-3;1.4;7;
