Point;Latitude;Longitude;Contexte;P̩riode;NORRRA;NORSTM0;NORSDA;NORDATEVEG;NORDATEDG;NORDATEPG;ARRA;ASDA;ADATEVEG;ADATEDG;
282;41.4087;9.1577;RCP2.6;H1;338.36;4703.75;28.87;22;229;189;-36.86;11.04;-3;-21;
423;41.4925;8.9759;RCP2.6;H1;344.34;4724.81;29.33;21;227;190;-27.77;10.96;-4;-22;
424;41.4864;9.071;RCP2.6;H1;340.62;4754.28;29.93;21;229;189;-27.69;10.93;-3;-20;
425;41.4802;9.166;RCP2.6;H1;349.72;4616.79;26.4;22;228;189;-37.31;10.37;-4;-21;
426;41.4739;9.261;RCP2.6;H1;333.21;4744.79;30;21;229;188;-36.71;11;-3;-22;
564;41.5759;8.7935;RCP2.6;H1;361.12;4651.08;23.07;21;222;202;-29.82;10.14;-3;1;
565;41.57;8.8888;RCP2.6;H1;379.05;4545.31;20.53;22;220;196;-30.68;9.43;-3;0;
566;41.564;8.984;RCP2.6;H1;393.46;4466.16;19.47;23;221;195;-31.25;9.14;-4;-1;
567;41.5579;9.0791;RCP2.6;H1;496.45;4124.69;16.3;28;226;194;-38.93;8;-4;-7;
568;41.5517;9.1743;RCP2.6;H1;352.81;4593.05;25.97;23;228;189;-37.45;10.5;-3;-21;
569;41.5454;9.2694;RCP2.6;H1;335.13;4729.41;29.57;21;229;189;-36.77;10.97;-4;-22;
707;41.6474;8.8014;RCP2.6;H1;360.44;4656.54;23.77;21;212;197;-18.93;9.5;-3;-6;
708;41.6415;8.8967;RCP2.6;H1;376.78;4501.75;19.9;23;217;198;-31.92;8.77;-3;-6;
709;41.6355;8.992;RCP2.6;H1;386.1;4449.88;19.4;23;219;198;-32.23;8.53;-4;-4;
710;41.6294;9.0873;RCP2.6;H1;472.13;4180.15;17.53;27;222;195;-51.48;8.4;-4;-10;
711;41.6232;9.1826;RCP2.6;H1;475.01;4158.69;17.2;27;222;194;-51.93;8.3;-5;-10;
712;41.6169;9.2779;RCP2.6;H1;366.65;4789.79;29.6;21;222;210;-40.99;9.93;-3;-14;
849;41.7248;8.7138;RCP2.6;H1;359.08;4665.01;24;21;216;197;-18.88;9.57;-3;-4;
850;41.719;8.8093;RCP2.6;H1;359.92;4659.65;23.8;21;212;197;-18.91;9.47;-3;-8;
851;41.713;8.9047;RCP2.6;H1;400.58;4426.63;19.1;24;217;195;-19.85;8;-3;-5;
852;41.707;9.0001;RCP2.6;H1;451.99;4328.89;20.43;26;222;197;-28.16;8.46;-3;-8;
853;41.7009;9.0955;RCP2.6;H1;470.86;4186.43;17.7;27;222;195;-51.43;8.33;-4;-10;
854;41.6946;9.1909;RCP2.6;H1;516.64;3748.39;11.03;34;238;188;-56.39;6.66;-6;-5;
855;41.6884;9.2863;RCP2.6;H1;405.08;4436.53;22.53;25;224;202;-52.41;9.9;-3;-3;
856;41.682;9.3817;RCP2.6;H1;354.71;4841.17;29.63;20;228;215;-46.04;9.56;-3;-4;
993;41.7905;8.8171;RCP2.6;H1;414.04;4332.67;17.57;25;219;196;-19.88;7.5;-4;-4;
994;41.7845;8.9127;RCP2.6;H1;438.53;4517.19;23.47;23;215;198;-25.15;9.6;-4;-4;
995;41.7785;9.0083;RCP2.6;H1;520.87;3735.25;10;34;236;185;-33.32;5.63;-6;-11;
996;41.7724;9.1038;RCP2.6;H1;621.81;3562.25;8.33;39;243;180;-42.07;5.23;-6;-9;
997;41.7661;9.1993;RCP2.6;H1;630.92;3481.19;7.47;41;249;181;-42.31;4.77;-6;-7;
998;41.7598;9.2948;RCP2.6;H1;542.31;4098.69;16.63;29;225;190;-60.77;8.23;-4;-8;
1136;41.862;8.8251;RCP2.6;H1;390.39;4454.28;19.33;23;224;200;-15.8;7.96;-4;-3;
1137;41.856;8.9207;RCP2.6;H1;486.83;4148.78;17.23;27;220;189;-23.5;7.93;-5;-9;
1138;41.85;9.0164;RCP2.6;H1;469.04;4219.78;17.93;27;224;197;-21.48;7.26;-4;-6;
1139;41.8439;9.112;RCP2.6;H1;687.61;3003.52;2.6;54;250;177;-34.12;2;-12;-17;
1140;41.8376;9.2077;RCP2.6;H1;718.69;2542.04;0.6;69;269;167;-42.05;0.57;-18;-8;
1141;41.8313;9.3033;RCP2.6;H1;421.74;4233.67;17.9;27;231;205;-57.73;8.8;-4;8;
1277;41.9452;8.6413;RCP2.6;H1;392.3;4550.99;19.17;22;215;200;-7.16;8.14;-3;-6;
1278;41.9394;8.7372;RCP2.6;H1;389.84;4564.74;19.57;22;219;201;-7.07;8.27;-3;-2;
1279;41.9335;8.833;RCP2.6;H1;370.58;4566.88;22.13;22;223;202;-15.01;8.7;-3;2;
1280;41.9276;8.9288;RCP2.6;H1;421.48;4177.56;15.03;26;224;203;-18.13;6.7;-5;-11;
1281;41.9215;9.0246;RCP2.6;H1;549.76;3434.16;6.3;41;252;183;-26.91;4.13;-7;-10;
1282;41.9154;9.1203;RCP2.6;H1;623.76;3657.55;8.6;37;235;184;-27.05;4.4;-7;-9;
1283;41.9091;9.216;RCP2.6;H1;555.76;2819.43;1.47;59;257;170;-24.96;1.14;-13;-13;
1284;41.9028;9.3118;RCP2.6;H1;425.6;4215.77;17.8;27;229;196;-69.19;8.73;-4;-1;
1421;42.011;8.745;RCP2.6;H1;407.36;4469.93;18.03;23;218;196;-7.49;7.6;-4;-3;
1422;42.0051;8.8409;RCP2.6;H1;399;4406.04;20;24;220;198;-15.96;8.6;-4;-5;
1423;41.9991;8.9368;RCP2.6;H1;515.37;3850.91;12.2;32;231;196;-23.69;6.07;-6;-9;
1424;41.993;9.0327;RCP2.6;H1;550.4;3453.21;6.33;41;245;184;-27.68;3.86;-6;-13;
1425;41.9869;9.1286;RCP2.6;H1;704.35;2727.94;1.07;63;261;172;-42.05;0.94;-13;-12;
1426;41.9806;9.2245;RCP2.6;H1;542.72;2917.23;1.93;56;252;172;-30.03;1.33;-11;-20;
1427;41.9743;9.3203;RCP2.6;H1;424.55;4290.61;19.77;26;231;202;-61.69;9.5;-4;3;
1563;42.0883;8.6568;RCP2.6;H1;352.84;4684.01;24.43;21;220;201;-10.54;9;-2;-7;
1564;42.0825;8.7528;RCP2.6;H1;362.51;4546.32;21.5;22;219;195;-18.68;8.27;-3;-4;
1565;42.0766;8.8489;RCP2.6;H1;465.54;4195.51;19.2;27;220;191;-27.25;8.77;-4;-7;
1566;42.0706;8.9449;RCP2.6;H1;481.46;4180.1;17.63;27;220;194;-13.15;7.3;-5;-7;
1567;42.0646;9.0409;RCP2.6;H1;622.58;3517.16;7.2;39;237;182;-19.91;4.27;-7;-14;
1568;42.0584;9.1369;RCP2.6;H1;597.93;2222.26;0.1;82;280;145;-45.9;0;-19;-9;
1569;42.0522;9.2329;RCP2.6;H1;531.16;2986.04;1.73;53;262;166;-48.35;1.33;-8;-13;
1570;42.0458;9.3288;RCP2.6;H1;413.3;4518.52;24.57;24;227;201;-51.05;10.47;-2;3;
1571;42.0394;9.4248;RCP2.6;H1;396.53;4888.85;26.6;20;236;235;-20.17;9.4;-2;21;
1637;42.3488;1.9977;RCP2.6;H1;514.52;1949.41;0.1;92;308;121;-1.64;0.03;-17;-7;
1642;42.3492;2.4818;RCP2.6;H1;778.08;3107.89;4.17;48;264;156;-12.65;2.4;-5;-8;
1643;42.349;2.5786;RCP2.6;H1;735.84;3321.78;6.57;42;257;163;-14.73;3.64;-5;-8;
1644;42.3488;2.6754;RCP2.6;H1;679.89;3696.92;10.93;34;242;171;-14.36;5.33;-4;-6;
1705;42.1656;8.5683;RCP2.6;H1;356.36;4662.24;24.1;21;220;201;-10.64;9.13;-3;-10;
1706;42.1599;8.6645;RCP2.6;H1;409.39;4336.09;18.1;25;219;193;-12.35;7.73;-3;-10;
1707;42.1541;8.7607;RCP2.6;H1;463.11;4315.14;20.8;25;219;191;-18.22;9.03;-4;-9;
1708;42.1482;8.8569;RCP2.6;H1;508.52;4039.05;15.73;29;227;197;-2.66;7.33;-5;-6;
1709;42.1422;8.953;RCP2.6;H1;598.42;3724;10.3;35;234;186;-18.94;5.37;-6;-9;
1710;42.1361;9.0491;RCP2.6;H1;540.32;2760.12;1.13;59;270;161;-17.88;1;-10;-10;
1711;42.1299;9.1452;RCP2.6;H1;551.37;2798.77;1.37;59;261;162;-39.6;1.04;-14;-13;
1712;42.1237;9.2413;RCP2.6;H1;487;3468.39;8.43;41;249;171;-45.57;5.4;-5;-14;
1713;42.1173;9.3374;RCP2.6;H1;426.66;4402;22.37;25;227;203;-52.27;9.94;-3;-4;
1714;42.1109;9.4334;RCP2.6;H1;401.63;4840.08;26.2;20;229;228;-20.56;9.37;-2;15;
1715;42.1044;9.5295;RCP2.6;H1;392.74;4921.97;27.2;20;240;239;-19.91;9.9;-1;28;
1780;42.4206;1.9973;RCP2.6;H1;465.56;2601.99;3.17;70;277;143;7.95;2.27;-13;-15;
1781;42.4208;2.0942;RCP2.6;H1;554.02;1501.58;0;118;313;110;6.07;0;-18;-17;
1782;42.421;2.1912;RCP2.6;H1;687.66;1127.44;0.13;142;329;104;25.24;0;-15;-12;
1784;42.4211;2.3851;RCP2.6;H1;967.45;2069.87;0.17;83;303;139;45.63;0.1;-14;-10;
1785;42.421;2.482;RCP2.6;H1;841.18;3021.24;3.23;52;260;164;31.11;1.6;-7;-14;
1786;42.4209;2.5789;RCP2.6;H1;705.48;3642.94;9.8;35;242;175;4.25;4.33;-4;-11;
1787;42.4206;2.6759;RCP2.6;H1;739.45;3424.44;7.23;40;256;168;5.3;3.2;-4;-7;
1788;42.4202;2.7728;RCP2.6;H1;679.37;3739.28;11.47;33;236;168;1.69;4.87;-5;-12;
1849;42.2315;8.6723;RCP2.6;H1;438.31;4092.25;13.97;27;225;192;-13.28;6.5;-5;-8;
1850;42.2256;8.7686;RCP2.6;H1;524.01;3878.25;12.8;31;225;192;-3.66;6.6;-6;-18;
1851;42.2197;8.8649;RCP2.6;H1;564.42;3415.31;6;41;248;180;-8.03;3.6;-7;-9;
1852;42.2137;8.9611;RCP2.6;H1;588.54;2531.08;0.57;70;273;166;-8.43;0;-19;-7;
1853;42.2076;9.0574;RCP2.6;H1;614.58;2088.2;0.07;90;282;148;-16.46;0;-24;-8;
1854;42.2015;9.1536;RCP2.6;H1;509.51;3254.59;5.5;47;246;178;-45.29;3.8;-8;-18;
1855;42.1952;9.2498;RCP2.6;H1;395;3966.39;19.87;31;244;175;-38.48;10.14;-5;-14;
1856;42.1889;9.346;RCP2.6;H1;431.44;4349.23;20.83;26;230;199;-50.3;9.46;-3;3;
1857;42.1824;9.4421;RCP2.6;H1;426.31;4713.63;23.6;21;215;215;-30.94;9.77;-2;3;
1918;42.4897;1.5116;RCP2.6;H1;632.91;2244.94;1.83;82;294;130;16.25;1.5;-11;-10;
1919;42.4905;1.6087;RCP2.6;H1;710.17;1267.91;0;137;320;107;0.65;0;-12;-16;
1920;42.4911;1.7057;RCP2.6;H1;728.5;1026.7;0;147;330;100;11.08;0;-14;-12;
1921;42.4916;1.8028;RCP2.6;H1;554.82;1413.53;0.17;126;318;114;-6.34;0;-14;-14;
1922;42.4921;1.8998;RCP2.6;H1;497.82;1958.18;0.5;90;310;135;-2.1;0.37;-15;-6;
1923;42.4924;1.9969;RCP2.6;H1;491.9;2277.83;1.67;79;296;141;15.36;1.44;-10;-11;
1924;42.4927;2.0939;RCP2.6;H1;493.43;2076.32;0.67;88;289;127;-0.33;0.5;-18;-14;
1925;42.4929;2.191;RCP2.6;H1;569.86;2022.46;0.27;89;290;126;9.63;0.17;-19;-13;
1926;42.4929;2.2881;RCP2.6;H1;555.85;1983.27;0.3;86;304;122;-5.41;0.27;-13;-12;
1927;42.4929;2.3851;RCP2.6;H1;604.54;2128.3;0.87;81;303;130;24.73;0.77;-12;-10;
1928;42.4929;2.4822;RCP2.6;H1;1014.35;1661.62;0.03;107;312;119;24.43;0;-17;-11;
1929;42.4927;2.5792;RCP2.6;H1;769.75;3207.82;4.9;45;262;155;5.3;2.6;-4;-8;
1930;42.4924;2.6763;RCP2.6;H1;632.68;4138.83;17.6;28;225;193;3.65;6.57;-3;-7;
1931;42.4921;2.7733;RCP2.6;H1;453.71;4371.05;20.73;25;218;192;9.84;7.26;-3;-9;
1932;42.4916;2.8704;RCP2.6;H1;496.11;4179.83;17.6;27;225;186;32.16;6.5;-4;-2;
1933;42.4911;2.9674;RCP2.6;H1;561.54;3839.27;7.2;30;228;185;43.13;3.4;-5;1;
1934;42.4905;3.0645;RCP2.6;H1;467.75;4331.48;12.03;25;207;188;12.32;5.03;-3;-16;
1992;42.303;8.6801;RCP2.6;H1;381.87;4473.58;19.87;23;232;208;-20.09;8.34;-3;5;
1993;42.2972;8.7765;RCP2.6;H1;522.51;3339.95;5.3;44;242;178;5.53;2.7;-9;-21;
1994;42.2913;8.8729;RCP2.6;H1;588.58;2522.24;0.43;68;273;158;-1.82;0;-16;-7;
1995;42.2853;8.9693;RCP2.6;H1;569.39;2528.72;0.53;71;277;160;-33.58;0;-18;-7;
1996;42.2792;9.0656;RCP2.6;H1;536.58;2635.26;0.67;65;270;158;-50.33;0.6;-10;-9;
1997;42.273;9.162;RCP2.6;H1;405.56;3606.36;10.37;39;243;179;-46.23;6.04;-6;-12;
1998;42.2667;9.2583;RCP2.6;H1;492.83;4060.71;18.93;30;238;181;-39.8;8.13;-4;-10;
1999;42.2604;9.3546;RCP2.6;H1;506.33;3826.13;14.3;33;243;179;-55.09;7.87;-6;-15;
2000;42.2539;9.4509;RCP2.6;H1;473.94;4234.4;19.83;27;228;192;-35.14;9.1;-3;-15;
2061;42.5616;1.5106;RCP2.6;H1;646.45;1986.56;0.17;90;308;131;29.54;0.07;-13;-12;
2062;42.5623;1.6078;RCP2.6;H1;689.31;1577.76;0;114;316;120;29.21;0;-13;-13;
2063;42.5629;1.7049;RCP2.6;H1;724.85;1247.33;0;134;325;109;25.58;0;-14;-15;
2064;42.5634;1.8021;RCP2.6;H1;547.9;1529.65;0.27;118;317;118;-4.24;0;-13;-12;
2065;42.5639;1.8993;RCP2.6;H1;566.56;1211.72;0.03;139;324;105;-10.36;0;-13;-14;
2066;42.5642;1.9965;RCP2.6;H1;580.7;1475.28;0;123;314;113;15.58;0;-16;-16;
2067;42.5645;2.0936;RCP2.6;H1;519.76;1960.23;0.33;93;296;120;2.34;0.16;-20;-15;
2068;42.5647;2.1908;RCP2.6;H1;552.73;2271.65;0.87;78;282;133;11.24;0.64;-15;-14;
2069;42.5648;2.288;RCP2.6;H1;473.63;3110.91;4.97;49;265;151;0.82;2.07;-7;-6;
2070;42.5648;2.3852;RCP2.6;H1;468.1;3518.36;10.1;40;254;163;18.17;4.03;-3;-3;
2071;42.5647;2.4823;RCP2.6;H1;514.98;2952.97;4.03;52;268;149;18.53;1.86;-7;-12;
2072;42.5645;2.5795;RCP2.6;H1;542.5;3468.7;7.33;38;250;169;4.42;3.66;-5;-5;
2073;42.5642;2.6767;RCP2.6;H1;480.05;4033.67;14.97;29;227;184;5.15;5.37;-4;-1;
2074;42.5639;2.7739;RCP2.6;H1;439.93;4460.67;23.77;25;214;193;12.34;8.2;-3;-13;
2075;42.5634;2.8711;RCP2.6;H1;388.44;4618.67;25.07;23;212;189;15.28;7.9;-3;-13;
2076;42.5629;2.9682;RCP2.6;H1;381.43;4692.02;26.4;23;214;188;14.88;7.63;-3;-14;
2135;42.3746;8.6879;RCP2.6;H1;366.06;4244.52;14.77;25;222;202;-23.27;6.8;-4;-7;
2136;42.3688;8.7844;RCP2.6;H1;451.25;3838.93;16.6;33;236;176;-24.45;7.37;-6;-21;
2137;42.3629;8.8809;RCP2.6;H1;589.4;2503.03;0.43;69;273;158;-2.33;0;-16;-7;
2138;42.3568;8.9774;RCP2.6;H1;571.81;2492.24;0.43;73;277;157;-35.15;0;-18;-8;
2139;42.3507;9.0739;RCP2.6;H1;508.39;3000.53;2.57;53;259;168;-45.62;2;-9;-14;
