#-----------------------------------------------------------------------------
# Date d'extraction : 31/03/2025 - 09h34 loc.
#-----------------------------------------------------------------------------
# Producteur : MF-DCSC
# Experience : EUROCORDEX2020
# Modele     : ALADIN63_CNRM-CM5
# Scenario :
#     RCP8.5 : Emissions non rÃ©duites
#-----------------------------------------------------------------------------
# Horizons :
#     H1 : Horizon proche
#     H2 : Horizon moyen
#     H3 : Horizon lointain
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     NORRRA : cumul de prÃ©cipitations d'avril Ã  octobre (mm)
#     NORSTM0 : somme de tempÃ©rature base 0Â°C d'octobre (annÃ©e-1) Ã  juillet (annÃ©e) (Â°C)
#     NORSDA : nombre de jours d'Ã©tÃ© d'avril Ã  juin (jour(s))
#     NORDATEVEG : date de reprise de vÃ©gÃ©tation en jour julien (date)
#     NORDATEDG : Date de derniÃ¨re gelÃ©e avec 1er juillet comme rÃ©fÃ©rence (date)
#     NORDATEPG : Date de premiÃ¨re gelÃ©e avec 1er juillet comme rÃ©fÃ©rence (date)
#     ARRA : Ecart de cumul de prÃ©cipitations d'avril Ã  octobre (mm)
#     ASDA : Ecart de nombre de jours d'Ã©tÃ© d'avril Ã  juin (jour(s))
#     ADATEVEG : Ecart de date de reprise de vÃ©gÃ©tation en jour julien (date)
#     ADATEDG : Ecart de date de derniÃ¨re gelÃ©e avec 1er juillet comme rÃ©fÃ©rence (date)
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;Contexte;PÃ©riode;NORRRA;NORSTM0;NORSDA;NORDATEVEG;NORDATEDG;NORDATEPG;ARRA;ASDA;ADATEVEG;ADATEDG;
#-----------------------------------------------------------------------------
1281;41.9215;9.0246;RCP8.5;H1;619.44;3435.44;5.93;39;246;169;42.77;3.76;-9;-16;
1282;41.9154;9.1203;RCP8.5;H1;714.17;3673.54;8.37;36;235;183;63.36;4.17;-8;-9;
1283;41.9091;9.216;RCP8.5;H1;644.89;2835.04;1.13;57;257;157;64.17;0.8;-15;-13;
1284;41.9028;9.3118;RCP8.5;H1;536.13;4213.86;15.87;27;223;200;41.34;6.8;-4;-7;
1421;42.011;8.745;RCP8.5;H1;482.56;4461.63;16.4;23;219;195;67.71;5.97;-4;-2;
1422;42.0051;8.8409;RCP8.5;H1;470.84;4394.65;17.37;24;224;195;55.88;5.97;-4;-1;
1423;41.9991;8.9368;RCP8.5;H1;573.57;3846.1;11.57;31;234;185;34.51;5.44;-7;-6;
1424;41.993;9.0327;RCP8.5;H1;614.1;3449.7;6.17;38;247;178;36.02;3.7;-9;-11;
1425;41.9869;9.1286;RCP8.5;H1;802.64;2741.39;0.7;61;255;158;56.24;0.57;-15;-18;
1426;41.9806;9.2245;RCP8.5;H1;627.42;2930.72;1.67;54;252;158;54.67;1.07;-13;-20;
1427;41.9743;9.3203;RCP8.5;H1;513.04;4289.7;17;26;221;199;26.8;6.73;-4;-7;
1563;42.0883;8.6568;RCP8.5;H1;431.76;4680.53;22.6;21;215;202;68.38;7.17;-2;-12;
1564;42.0825;8.7528;RCP8.5;H1;424.54;4538.16;19.43;22;222;201;43.35;6.2;-3;-1;
1565;42.0766;8.8489;RCP8.5;H1;539.35;4188.52;16.73;27;216;187;46.56;6.3;-4;-11;
1566;42.0706;8.9449;RCP8.5;H1;533.07;4180.08;17.03;27;214;190;38.46;6.7;-5;-13;
1567;42.0646;9.0409;RCP8.5;H1;683.9;3519.75;7.2;37;244;180;41.41;4.27;-9;-7;
1568;42.0584;9.1369;RCP8.5;H1;703.72;2231.65;0.1;82;275;137;59.89;0;-19;-14;
1569;42.0522;9.2329;RCP8.5;H1;610.88;2987.55;1.43;50;267;155;31.37;1.03;-11;-8;
1570;42.0458;9.3288;RCP8.5;H1;491.82;4518.5;22.33;23;222;204;27.47;8.23;-3;-2;
1571;42.0394;9.4248;RCP8.5;H1;464.54;4887.42;24.5;20;225;225;47.84;7.3;-2;10;
1637;42.3488;1.9977;RCP8.5;H1;548.01;1964.02;0.07;90;307;122;31.85;0;-19;-8;
1642;42.3492;2.4818;RCP8.5;H1;797.25;3112.28;4.17;43;266;153;6.52;2.4;-10;-6;
1643;42.349;2.5786;RCP8.5;H1;759.85;3316.35;6.1;38;254;157;9.28;3.17;-9;-11;
1644;42.3488;2.6754;RCP8.5;H1;704.27;3689.13;10.33;32;237;166;10.02;4.73;-6;-11;
1705;42.1656;8.5683;RCP8.5;H1;435.84;4658.71;22.27;21;215;203;68.84;7.3;-3;-15;
