Point;Latitude;Longitude;Contexte;P̩riode;NORRRA;NORSTM0;NORSDA;NORDATEVEG;NORDATEDG;NORDATEPG;
139;41.3373;9.1495;REF;REF;362.43;4398.83;20.2;24;0;0;
281;41.4149;9.0628;REF;REF;361.01;4401.41;19.9;24;0;0;
282;41.4087;9.1577;REF;REF;375.22;4301.86;17.83;25;250;169;
283;41.4025;9.2527;REF;REF;363.82;4388.55;20;24;0;0;
422;41.4985;8.8808;REF;REF;363.77;4381.04;19.57;24;0;0;
423;41.4925;8.9759;REF;REF;372.11;4317.2;18.37;25;249;170;
424;41.4864;9.071;REF;REF;368.31;4346.63;19;24;249;170;
425;41.4802;9.166;REF;REF;387.03;4212.71;16.03;26;249;169;
426;41.4739;9.261;REF;REF;369.92;4342.74;19;24;251;169;
564;41.5759;8.7935;REF;REF;390.94;4296.27;12.93;24;221;193;
565;41.57;8.8888;REF;REF;409.73;4177.83;11.1;25;220;196;
566;41.564;8.984;REF;REF;424.71;4083.13;10.33;27;222;196;
567;41.5579;9.0791;REF;REF;535.38;3694.22;8.3;32;233;182;
568;41.5517;9.1743;REF;REF;390.26;4188.19;15.47;26;249;169;
569;41.5454;9.2694;REF;REF;371.9;4327.65;18.6;25;251;169;
707;41.6474;8.8014;REF;REF;379.37;4312.28;14.27;24;218;190;
708;41.6415;8.8967;REF;REF;408.7;4130.99;11.13;26;223;196;
709;41.6355;8.992;REF;REF;418.33;4068.99;10.87;27;223;194;
710;41.6294;9.0873;REF;REF;523.61;3768.66;9.13;31;232;187;
711;41.6232;9.1826;REF;REF;526.94;3745.17;8.9;32;232;186;
712;41.6169;9.2779;REF;REF;407.64;4424.21;19.67;24;236;204;
849;41.7248;8.7138;REF;REF;377.96;4321.05;14.43;24;220;191;
850;41.719;8.8093;REF;REF;378.83;4315.54;14.33;24;220;191;
851;41.713;8.9047;REF;REF;420.43;4050;11.1;27;222;191;
852;41.707;9.0001;REF;REF;480.15;3935.08;11.97;29;230;192;
853;41.7009;9.0955;REF;REF;522.29;3775.51;9.37;31;232;187;
854;41.6946;9.1909;REF;REF;573.03;3322.95;4.37;40;243;170;
855;41.6884;9.2863;REF;REF;457.49;4040.5;12.63;28;227;195;
856;41.682;9.3817;REF;REF;400.75;4475.84;20.07;23;232;209;
992;41.7963;8.7216;REF;REF;382.75;4291.56;13.97;24;0;0;
993;41.7905;8.8171;REF;REF;433.92;3947.81;10.07;29;223;189;
994;41.7845;8.9127;REF;REF;463.68;4134.43;13.87;27;219;194;
995;41.7785;9.0083;REF;REF;554.19;3315.12;4.37;40;247;172;
996;41.7724;9.1038;REF;REF;663.88;3158.46;3.1;45;252;167;
997;41.7661;9.1993;REF;REF;673.23;3079.07;2.7;47;256;162;
998;41.7598;9.2948;REF;REF;603.08;3691.13;8.4;33;233;181;
999;41.7535;9.3902;REF;REF;412.71;4386.48;18.37;24;0;0;
1134;41.8737;8.6336;REF;REF;371.64;4350.37;14;23;0;0;
1135;41.8679;8.7294;REF;REF;364.94;4354.74;15.3;24;0;0;
1136;41.862;8.8251;REF;REF;406.19;4092.36;11.37;27;227;193;
1137;41.856;8.9207;REF;REF;510.33;3746.29;9.3;32;229;190;
1138;41.85;9.0164;REF;REF;490.52;3830.54;10.67;31;230;190;
1139;41.8439;9.112;REF;REF;721.73;2590.45;0.6;66;267;150;
1140;41.8376;9.2077;REF;REF;760.74;2149.89;0.03;87;277;140;
1141;41.8313;9.3033;REF;REF;479.47;3830.27;9.1;31;223;187;
1142;41.8249;9.3988;REF;REF;425.12;4444.53;17.13;23;0;0;
1276;41.9509;8.5455;REF;REF;371.64;4350.37;14;23;0;0;
1277;41.9452;8.6413;REF;REF;399.46;4176.52;11.03;25;221;195;
1278;41.9394;8.7372;REF;REF;396.91;4192.23;11.3;25;221;196;
1279;41.9335;8.833;REF;REF;385.59;4220.14;13.43;25;221;193;
1280;41.9276;8.9288;REF;REF;439.61;3793;8.33;31;235;194;
1281;41.9215;9.0246;REF;REF;576.67;3026.82;2.17;48;262;159;
1282;41.9154;9.1203;REF;REF;650.81;3234.27;4.2;44;244;168;
1283;41.9091;9.216;REF;REF;580.72;2426.96;0.33;72;270;143;
1284;41.9028;9.3118;REF;REF;494.79;3829.5;9.07;31;230;185;
1285;41.8964;9.4075;REF;REF;414.74;4544.71;18.1;22;0;0;
1420;42.0168;8.649;REF;REF;376.96;4318.05;13.5;24;0;0;
1421;42.011;8.745;REF;REF;414.85;4079.45;10.43;27;221;194;
1422;42.0051;8.8409;REF;REF;414.96;4031.02;11.4;28;225;190;
1423;41.9991;8.9368;REF;REF;539.06;3440.4;6.13;38;240;177;
1424;41.993;9.0327;REF;REF;578.08;3038.84;2.47;47;258;160;
1425;41.9869;9.1286;REF;REF;746.4;2325.34;0.13;76;273;143;
