#-----------------------------------------------------------------------------
# Date d'extraction : 31/03/2025 - 09h38 loc.
#-----------------------------------------------------------------------------
# Producteur : MF-DCSC
# Experience : EUROCORDEX2020
# Modele     : ALADIN63_CNRM-CM5
# Scenario :
#     RCP4.5 : Emissions modÃ©rÃ©es
#-----------------------------------------------------------------------------
# Horizons :
#     H1 : Horizon proche
#     H2 : Horizon moyen
#     H3 : Horizon lointain
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     NORRRA : cumul de prÃ©cipitations d'avril Ã  octobre (mm)
#     NORSTM0 : somme de tempÃ©rature base 0Â°C d'octobre (annÃ©e-1) Ã  juillet (annÃ©e) (Â°C)
#     NORSDA : nombre de jours d'Ã©tÃ© d'avril Ã  juin (jour(s))
#     NORDATEVEG : date de reprise de vÃ©gÃ©tation en jour julien (date)
#     NORDATEDG : Date de derniÃ¨re gelÃ©e avec 1er juillet comme rÃ©fÃ©rence (date)
#     NORDATEPG : Date de premiÃ¨re gelÃ©e avec 1er juillet comme rÃ©fÃ©rence (date)
#     ARRA : Ecart de cumul de prÃ©cipitations d'avril Ã  octobre (mm)
#     ASDA : Ecart de nombre de jours d'Ã©tÃ© d'avril Ã  juin (jour(s))
#     ADATEVEG : Ecart de date de reprise de vÃ©gÃ©tation en jour julien (date)
#     ADATEDG : Ecart de date de derniÃ¨re gelÃ©e avec 1er juillet comme rÃ©fÃ©rence (date)
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;Contexte;PÃ©riode;NORRRA;NORSTM0;NORSDA;NORDATEVEG;NORDATEDG;NORDATEPG;ARRA;ASDA;ADATEVEG;ADATEDG;
#-----------------------------------------------------------------------------
1711;42.1299;9.1452;RCP4.5;H1;589.05;2752.23;1.13;61;261;158;-1.92;0.8;-12;-13;
1712;42.1237;9.2413;RCP4.5;H1;511.08;3393.35;6.2;39;256;162;-21.49;3.17;-7;-7;
1713;42.1173;9.3374;RCP4.5;H1;461.04;4328.91;19.53;25;227;195;-17.89;7.1;-3;-4;
1714;42.1109;9.4334;RCP4.5;H1;433.41;4751.78;23.27;20;231;210;11.22;6.44;-2;17;
1715;42.1044;9.5295;RCP4.5;H1;423.76;4834.77;24.2;19;226;208;11.11;6.9;-2;14;
1780;42.4206;1.9973;RCP4.5;H1;485.1;2538.13;3.03;72;277;140;27.49;2.13;-11;-15;
1781;42.4208;2.0942;RCP4.5;H1;574.44;1448.26;0;121;315;112;26.49;0;-15;-15;
1782;42.421;2.1912;RCP4.5;H1;674.04;1074.34;0;147;330;108;11.62;0;-10;-11;
1784;42.4211;2.3851;RCP4.5;H1;929.22;2003.42;0.07;87;305;136;7.4;0;-10;-8;
1785;42.421;2.482;RCP4.5;H1;837.13;2979.56;3.83;49;263;161;27.06;2.2;-10;-11;
1786;42.4209;2.5789;RCP4.5;H1;712.9;3599.87;10.23;33;236;170;11.67;4.76;-6;-17;
1787;42.4206;2.6759;RCP4.5;H1;746.26;3381.59;7.7;38;248;163;12.11;3.67;-6;-15;
1788;42.4202;2.7728;RCP4.5;H1;673.84;3687.57;11.57;32;236;171;-3.84;4.97;-6;-12;
1849;42.2315;8.6723;RCP4.5;H1;470.22;4015.39;12.53;27;229;200;18.63;5.06;-5;-4;
1850;42.2256;8.7686;RCP4.5;H1;539.39;3811.87;11.6;31;234;194;11.72;5.4;-6;-9;
1851;42.2197;8.8649;RCP4.5;H1;580.13;3349.85;5.3;41;252;178;7.68;2.9;-7;-5;
1852;42.2137;8.9611;RCP4.5;H1;589.33;2479.85;0.37;73;271;155;-7.64;0;-16;-9;
1853;42.2076;9.0574;RCP4.5;H1;616.66;2038.73;0;95;282;144;-14.38;0;-19;-8;
1854;42.2015;9.1536;RCP4.5;H1;538;3202.57;4.7;47;251;168;-16.8;3;-8;-13;
1855;42.1952;9.2498;RCP4.5;H1;416.41;3880.68;16.43;31;253;169;-17.07;6.7;-5;-5;
1856;42.1889;9.346;RCP4.5;H1;467.83;4269.17;18.03;25;232;197;-13.91;6.66;-4;5;
1857;42.1824;9.4421;RCP4.5;H1;472.12;4638.18;20.5;21;227;213;14.87;6.67;-2;15;
1918;42.4897;1.5116;RCP4.5;H1;640.43;2196.27;1.57;83;295;132;23.77;1.24;-10;-9;
1919;42.4905;1.6087;RCP4.5;H1;722.51;1232.63;0;138;320;112;12.99;0;-11;-16;
1920;42.4911;1.7057;RCP4.5;H1;732.72;989.25;0;151;336;104;15.3;0;-10;-6;
1921;42.4916;1.8028;RCP4.5;H1;569.55;1363.55;0;128;323;116;8.39;0;-12;-9;
1922;42.4921;1.8998;RCP4.5;H1;512.84;1903.84;0.07;94;315;130;12.92;-0.06;-11;-1;
1923;42.4924;1.9969;RCP4.5;H1;496.07;2225.9;1.33;80;300;135;19.53;1.1;-9;-7;
1924;42.4927;2.0939;RCP4.5;H1;492.94;2035.34;0.43;92;294;132;-0.82;0.26;-14;-9;
1925;42.4929;2.191;RCP4.5;H1;568.4;1980.19;0.2;93;296;130;8.17;0.1;-15;-7;
1926;42.4929;2.2881;RCP4.5;H1;562.05;1935.97;0.13;88;306;125;0.79;0.1;-11;-10;
1927;42.4929;2.3851;RCP4.5;H1;587.88;2059.54;0.5;84;305;131;8.07;0.4;-9;-8;
1928;42.4929;2.4822;RCP4.5;H1;1013.85;1624.63;0;112;313;123;23.93;0;-12;-10;
