Point;Latitude;Longitude;Contexte;P̩riode;Saison;NORTAV;NORTXAV;ATAV;ATXAV;
139;41.3373;9.1495;RCP2.6;H1;3;25.09;29.77;0;0;
281;41.4149;9.0628;RCP2.6;H1;3;25.02;29.72;0;0;
282;41.4087;9.1577;RCP2.6;H1;3;24.88;29.46;1.85;1.86;
283;41.4025;9.2527;RCP2.6;H1;3;25.07;29.74;0;0;
422;41.4985;8.8808;RCP2.6;H1;3;24.98;29.65;0;0;
423;41.4925;8.9759;RCP2.6;H1;3;24.84;29.44;1.77;1.79;
424;41.4864;9.071;RCP2.6;H1;3;24.9;29.54;1.76;1.77;
425;41.4802;9.166;RCP2.6;H1;3;24.71;29.19;1.89;1.92;
426;41.4739;9.261;RCP2.6;H1;3;24.96;29.59;1.83;1.83;
564;41.5759;8.7935;RCP2.6;H1;3;23.85;27.76;1.51;1.44;
565;41.57;8.8888;RCP2.6;H1;3;23.75;27.6;1.65;1.59;
566;41.564;8.984;RCP2.6;H1;3;23.72;27.59;1.81;1.76;
567;41.5579;9.0791;RCP2.6;H1;3;23.42;27.13;2.19;2.22;
568;41.5517;9.1743;RCP2.6;H1;3;24.67;29.13;1.91;1.95;
569;41.5454;9.2694;RCP2.6;H1;3;24.93;29.54;1.83;1.84;
707;41.6474;8.8014;RCP2.6;H1;3;23.85;27.81;1.47;1.44;
708;41.6415;8.8967;RCP2.6;H1;3;23.75;27.62;1.73;1.69;
709;41.6355;8.992;RCP2.6;H1;3;23.72;27.62;1.83;1.8;
710;41.6294;9.0873;RCP2.6;H1;3;23.62;27.45;2.17;2.23;
711;41.6232;9.1826;RCP2.6;H1;3;23.57;27.38;2.19;2.25;
712;41.6169;9.2779;RCP2.6;H1;3;25.02;29.29;1.6;1.64;
849;41.7248;8.7138;RCP2.6;H1;3;23.86;27.83;1.46;1.43;
850;41.719;8.8093;RCP2.6;H1;3;23.85;27.82;1.46;1.44;
851;41.713;8.9047;RCP2.6;H1;3;23.67;27.61;1.82;1.83;
852;41.707;9.0001;RCP2.6;H1;3;23.9;27.99;2;2.1;
853;41.7009;9.0955;RCP2.6;H1;3;23.63;27.47;2.17;2.22;
854;41.6946;9.1909;RCP2.6;H1;3;22.33;25.49;2.27;2.26;
855;41.6884;9.2863;RCP2.6;H1;3;24.49;28.46;2;2.07;
856;41.682;9.3817;RCP2.6;H1;3;25.13;29.42;1.61;1.62;
992;41.7963;8.7216;RCP2.6;H1;3;23.82;27.77;0;0;
993;41.7905;8.8171;RCP2.6;H1;3;23.48;27.36;1.9;1.93;
994;41.7845;8.9127;RCP2.6;H1;3;24.3;28.48;1.87;1.91;
995;41.7785;9.0083;RCP2.6;H1;3;22.21;25.42;2.18;2.24;
996;41.7724;9.1038;RCP2.6;H1;3;21.65;24.7;2.1;2.12;
997;41.7661;9.1993;RCP2.6;H1;3;21.38;24.32;2.09;2.09;
998;41.7598;9.2948;RCP2.6;H1;3;23.44;27.37;2.13;2.21;
999;41.7535;9.3902;RCP2.6;H1;3;24.99;29.24;0;0;
1134;41.8737;8.6336;RCP2.6;H1;3;24.05;28.01;0;0;
1135;41.8679;8.7294;RCP2.6;H1;3;23.91;27.94;0;0;
1136;41.862;8.8251;RCP2.6;H1;3;23.69;27.63;1.75;1.77;
1137;41.856;8.9207;RCP2.6;H1;3;23.49;27.33;2.11;2.2;
1138;41.85;9.0164;RCP2.6;H1;3;23.63;27.6;2.03;2.15;
1139;41.8439;9.112;RCP2.6;H1;3;19.61;21.99;2.02;1.94;
1140;41.8376;9.2077;RCP2.6;H1;3;17.76;19.79;1.9;1.8;
1141;41.8313;9.3033;RCP2.6;H1;3;24.02;27.62;2.12;2.19;
1142;41.8249;9.3988;RCP2.6;H1;3;24.84;28.48;0;0;
1276;41.9509;8.5455;RCP2.6;H1;3;24.05;28.01;0;0;
1277;41.9452;8.6413;RCP2.6;H1;3;23.88;27.72;1.78;1.7;
1278;41.9394;8.7372;RCP2.6;H1;3;23.89;27.73;1.76;1.68;
1279;41.9335;8.833;RCP2.6;H1;3;23.77;27.7;1.57;1.57;
1280;41.9276;8.9288;RCP2.6;H1;3;23.1;26.87;1.97;2.06;
1281;41.9215;9.0246;RCP2.6;H1;3;21.22;24.07;2.15;2.19;
1282;41.9154;9.1203;RCP2.6;H1;3;21.81;24.95;2.04;2.05;
1283;41.9091;9.216;RCP2.6;H1;3;18.66;21.44;1.86;1.84;
1284;41.9028;9.3118;RCP2.6;H1;3;23.78;27.45;1.94;2;
1285;41.8964;9.4075;RCP2.6;H1;3;25.02;28.59;0;0;
1420;42.0168;8.649;RCP2.6;H1;3;24;27.92;0;0;
1421;42.011;8.745;RCP2.6;H1;3;23.86;27.72;1.95;1.89;
1422;42.0051;8.8409;RCP2.6;H1;3;23.68;27.64;1.86;1.88;
1423;41.9991;8.9368;RCP2.6;H1;3;22.56;25.97;2.14;2.23;
1424;41.993;9.0327;RCP2.6;H1;3;21.28;24.13;2.17;2.19;
1425;41.9869;9.1286;RCP2.6;H1;3;18.49;20.63;1.93;1.81;
1426;41.9806;9.2245;RCP2.6;H1;3;19;21.88;1.86;1.82;
1427;41.9743;9.3203;RCP2.6;H1;3;23.98;27.79;1.93;2.02;
1428;41.9679;9.4161;RCP2.6;H1;3;25.08;28.66;0;0;
1562;42.0941;8.5607;RCP2.6;H1;3;23.95;28;0;0;
1563;42.0883;8.6568;RCP2.6;H1;3;23.94;27.98;1.48;1.49;
1564;42.0825;8.7528;RCP2.6;H1;3;23.75;27.71;1.59;1.63;
1565;42.0766;8.8489;RCP2.6;H1;3;23.6;27.55;2.07;2.21;
1566;42.0706;8.9449;RCP2.6;H1;3;23.57;27.48;2.12;2.24;
1567;42.0646;9.0409;RCP2.6;H1;3;21.49;24.54;2.12;2.18;
1568;42.0584;9.1369;RCP2.6;H1;3;16.28;18.41;1.77;1.69;
1569;42.0522;9.2329;RCP2.6;H1;3;19.58;22.65;2.13;2.17;
1570;42.0458;9.3288;RCP2.6;H1;3;24.45;28.44;1.77;1.86;
1571;42.0394;9.4248;RCP2.6;H1;3;25.26;28.8;1.7;1.62;
1572;42.0329;9.5207;RCP2.6;H1;3;25.33;28.85;0;0;
1637;42.3488;1.9977;RCP2.6;H1;3;15;18.15;1.92;2;
1638;42.349;2.0945;RCP2.6;H1;3;14.24;17.14;0;0;
1641;42.3493;2.385;RCP2.6;H1;3;18.13;21.39;0;0;
1642;42.3492;2.4818;RCP2.6;H1;3;19.47;23.03;1.82;1.95;
1643;42.349;2.5786;RCP2.6;H1;3;20.21;23.9;1.83;1.93;
