#-----------------------------------------------------------------------------
# Date d'extraction : 31/03/2025 - 09h25 loc.
#-----------------------------------------------------------------------------
# Producteur : MF-DCSC
# Experience : EUROCORDEX2020
# Modele     : ALADIN63_CNRM-CM5
# Scenario :
#     RCP4.5 : Emissions modÃ©rÃ©es
#-----------------------------------------------------------------------------
# Horizons :
#     H1 : Horizon proche
#     H2 : Horizon moyen
#     H3 : Horizon lointain
#-----------------------------------------------------------------------------
# Type d'indice : saisonnier
                  (1 - hiver, 2 - printemps, 3 - Ã©tÃ©, 4 - automne)
#-----------------------------------------------------------------------------
# Indices : 
#     NORTAV : TempÃ©rature moyenne journaliÃ¨re (Â°C)
#     NORTXAV : TempÃ©rature maximale journaliÃ¨re (Â°C)
#     ATAV : Ecart de tempÃ©rature moyenne journaliÃ¨re (Â°C)
#     ATXAV : Ecart de tempÃ©rature maximale journaliÃ¨re (Â°C)
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;Contexte;PÃ©riode;Saison;NORTAV;NORTXAV;ATAV;ATXAV;
#-----------------------------------------------------------------------------
1285;41.8964;9.4075;RCP4.5;H1;3;24.8;28.41;0;0;
1420;42.0168;8.649;RCP4.5;H1;3;23.54;27.46;0;0;
1421;42.011;8.745;RCP4.5;H1;3;23.29;27.12;1.38;1.29;
1422;42.0051;8.8409;RCP4.5;H1;3;23.15;27.1;1.33;1.34;
1423;41.9991;8.9368;RCP4.5;H1;3;22.13;25.5;1.71;1.76;
1424;41.993;9.0327;RCP4.5;H1;3;20.86;23.7;1.75;1.76;
1425;41.9869;9.1286;RCP4.5;H1;3;18.19;20.45;1.63;1.63;
1426;41.9806;9.2245;RCP4.5;H1;3;18.72;21.68;1.58;1.62;
1427;41.9743;9.3203;RCP4.5;H1;3;23.64;27.49;1.59;1.72;
1428;41.9679;9.4161;RCP4.5;H1;3;24.84;28.46;0;0;
1562;42.0941;8.5607;RCP4.5;H1;3;23.61;27.66;0;0;
1563;42.0883;8.6568;RCP4.5;H1;3;23.6;27.64;1.14;1.15;
1564;42.0825;8.7528;RCP4.5;H1;3;23.33;27.26;1.17;1.18;
1565;42.0766;8.8489;RCP4.5;H1;3;23.02;26.89;1.49;1.55;
1566;42.0706;8.9449;RCP4.5;H1;3;23.14;27.01;1.69;1.77;
1567;42.0646;9.0409;RCP4.5;H1;3;21.09;24.11;1.72;1.75;
1568;42.0584;9.1369;RCP4.5;H1;3;16.04;18.23;1.53;1.51;
1569;42.0522;9.2329;RCP4.5;H1;3;19.19;22.32;1.74;1.84;
1570;42.0458;9.3288;RCP4.5;H1;3;24.14;28.16;1.46;1.58;
1571;42.0394;9.4248;RCP4.5;H1;3;24.94;28.5;1.38;1.32;
1572;42.0329;9.5207;RCP4.5;H1;3;25.02;28.56;0;0;
1637;42.3488;1.9977;RCP4.5;H1;3;14.75;17.93;1.67;1.78;
1638;42.349;2.0945;RCP4.5;H1;3;14;16.93;0;0;
1641;42.3493;2.385;RCP4.5;H1;3;17.85;21.14;0;0;
1642;42.3492;2.4818;RCP4.5;H1;3;19.14;22.71;1.49;1.63;
1643;42.349;2.5786;RCP4.5;H1;3;19.89;23.57;1.51;1.6;
1644;42.3488;2.6754;RCP4.5;H1;3;21.16;25.03;1.43;1.54;
1705;42.1656;8.5683;RCP4.5;H1;3;23.56;27.58;1.15;1.16;
1706;42.1599;8.6645;RCP4.5;H1;3;23.09;26.99;1.48;1.51;
1707;42.1541;8.7607;RCP4.5;H1;3;23.41;27.44;1.54;1.6;
1708;42.1482;8.8569;RCP4.5;H1;3;22.75;26.51;1.7;1.85;
1709;42.1422;8.953;RCP4.5;H1;3;21.76;25.1;1.68;1.75;
1710;42.1361;9.0491;RCP4.5;H1;3;18.23;21.02;1.56;1.58;
1711;42.1299;9.1452;RCP4.5;H1;3;18.34;21.14;1.6;1.61;
1712;42.1237;9.2413;RCP4.5;H1;3;20.85;24.73;1.78;1.9;
1713;42.1173;9.3374;RCP4.5;H1;3;23.9;27.94;1.53;1.69;
1714;42.1109;9.4334;RCP4.5;H1;3;24.84;28.44;1.4;1.35;
